,word,freq,len,,
4188,bouquinage,0.07,10,,
4189,bouquiner,1.08,9,,
4190,bouquinistes,1.15,12,,
4191,bouquins,13.24,8,,
4192,bourbeux,1.01,8,,
4193,bourbier,1.01,8,,
4194,bourbon,6.96,7,,
4195,bourde,0.54,6,,
4196,bourdon,4.73,7,,
4197,bourdonna,0.41,9,,
4198,bourdonnaient,1.76,13,,
4199,bourdonnait,2.23,11,,
4200,bourdonnant,1.28,11,,
4201,bourdonnante,1.35,12,,
4202,bourdonnantes,1.01,13,,
4203,bourdonne,1.42,9,,
4204,bourdonnement,9.19,13,,
4205,bourdonnements,1.35,14,,
4206,bourdonnent,1.49,11,,
4207,bourdonner,1.08,10,,
4208,bourg,13.85,5,,
4209,bourgade,2.91,8,,
4210,bourgades,1.08,9,,
4211,bourgeois,34.86,9,,
4212,bourgeoise,11.42,10,,
4213,bourgeoises,5.81,11,,
4214,bourgeoisie,10.14,11,,
4215,bourgeonnait,0.14,12,,
4216,bourgeonnant,0.34,12,,
4217,bourgeonnement,0.14,14,,
4218,bourgeons,2.16,9,,
4219,bourgeron,1.01,9,,
4220,bourges,0.48,7,,
4221,bourgogne,1.01,9,,
4222,bourgs,2.03,6,,
4223,bourguignon,2.91,11,,
4224,bourguignons,2.09,12,,
4225,bourra,1.01,6,,
4226,bourrade,2.7,8,,
4227,bourrades,2.09,9,,
4228,bourrait,1.82,8,,
4229,bourrant,0.95,8,,
4230,bourrasque,3.92,10,,
4231,bourrasques,2.09,11,,
4232,bourre,17.91,6,,
4233,bourreau,7.09,8,,
4234,bourreaux,5.81,9,,
4235,bourree,4.46,7,,
4236,bourrees,2.84,8,,
4237,bourrelet,2.64,9,,
4238,bourrelets,3.58,10,,
4239,bourrent,0.54,8,,
4240,bourrer,3.72,7,,
4241,bourres,7.1,7,,
4242,bourrez,0.07,7,,
4243,bourrin,1.08,7,,
4244,bourrique,2.09,9,,
4245,bourru,3.51,6,,
4246,bourrue,1.35,7,,
4247,bourrues,0.2,8,,
4248,bourse,11.22,6,,
4249,bourses,1.96,7,,
4250,boursoufle,2.5,10,,
4251,boursouflement,0.07,14,,
4252,boursouflures,1.01,13,,
4253,bouscula,2.36,8,,
4254,bousculade,5.34,10,,
4255,bousculades,0.95,11,,
4256,bousculaient,3.65,12,,
4257,bousculait,3.24,10,,
4258,bousculant,4.53,10,,
4259,bouscule,8.31,8,,
4260,bousculee,1.49,9,,
4261,bousculees,0.2,10,,
4262,bousculent,2.36,10,,
4263,bousculer,5.07,9,,
4264,bouscules,1.69,9,,
4265,bousculons,0.07,10,,
4266,bouse,3.72,5,,
4267,bouses,1.42,6,,
4268,bouseux,1.15,7,,
4269,bousier,0.14,7,,
4270,bousille,0.95,8,,
4271,bousillee,0.54,9,,
4272,bousiller,1.15,9,,
4273,boussole,4.05,8,,
4274,bout,381.36,4,,
4275,boutade,1.35,7,,
4276,bouteille,70.41,9,,
4277,bouteilles,33.65,10,,
4278,boutique,36.01,8,,
4279,boutiques,12.91,9,,
4280,boutiquieres,0.14,12,,
4281,boutiquiers,1.29,11,,
4282,bouton,21.55,6,,
4283,boutonner,1.35,9,,
4284,boutonneux,1.55,10,,
4285,boutonniere,3.18,11,,
4286,boutons,22.98,7,,
4287,bouts,22.43,5,,
4288,bouture,0.14,7,,
4289,bovins,1.49,6,,
4290,bowling,1.08,7,,
4291,box,4.05,3,,
4292,boxe,7.91,4,,
4293,boxer,1.48,5,,
4294,boxeur,6.15,6,,
4295,boxeurs,1.82,7,,
4296,boxons,0.27,6,,
4297,boy,6.42,3,,
4298,boyau,8.24,5,,
4299,boyaux,5.34,6,,
4300,bracelet,5.74,8,,
4301,bracelets,3.78,9,,
4302,braconnait,0.07,10,,
4303,braconnier,2.03,10,,
4304,braconniers,0.61,11,,
4305,braguette,5.95,9,,
4306,brailla,1.42,7,,
4307,braillait,1.96,9,,
4308,braillant,1.96,9,,
4309,braillarde,0.14,10,,
4310,braillardes,0.07,11,,
4311,braillards,1.76,10,,
4312,braille,4.32,7,,
4313,brailler,3.18,8,,
4314,braise,5.95,6,,
4315,braises,6.42,7,,
4316,brancard,3.11,8,,
4317,brancardiers,3.38,12,,
4318,brancards,4.19,9,,
4319,branchages,3.65,10,,
4320,branchai,0.14,8,,
4321,branchais,0.07,9,,
4322,branche,27.9,7,,
4323,branchee,1.22,8,,
4324,brancher,1.55,8,,
4325,branches,62.85,8,,
4326,branchettes,1.76,11,,
4327,brandi,2.16,6,,
4328,brandir,1.42,7,,
4329,brandirait,0.07,10,,
4330,brandissait,3.18,11,,
4331,brandissant,5.54,11,,
4332,brandit,5.34,7,,
4333,brandy,0.14,6,,
4334,braqua,0.54,6,,
4335,braquage,1.22,8,,
4336,braquai,0.14,7,,
4337,braquait,1.28,8,,
4338,braquant,1.01,8,,
4339,braque,5.48,6,,
4340,braquee,1.08,7,,
4341,braquer,2.97,7,,
4342,braques,2.51,7,,
4343,braqueur,0.54,8,,
4344,braqueurs,0.47,9,,
4345,bras,487.97,4,,
4346,brasero,1.15,7,,
4347,braseros,0.68,8,,
4348,brasier,5.81,7,,
4349,brassard,3.92,8,,
4350,brassards,1.01,9,,
4351,brassee,2.3,7,,
4352,brassees,1.56,8,,
4353,brasserie,7.97,9,,
4354,brasseries,1.08,10,,
4355,brasses,1.35,7,,
4356,bravade,1.42,7,,
4357,bravait,0.41,7,,
4358,brave,27.02,5,,
4359,bravee,0.07,6,,
4360,bravement,3.78,9,,
4361,braver,2.09,6,,
4362,braves,13.52,6,,
4363,bravo,11.15,5,,
4364,bravos,1.35,6,,
4365,bravoure,3.18,8,,
4366,break,1.96,5,,
4367,brebis,7.03,6,,
4368,breche,7.7,6,,
4369,breches,1.89,7,,
4370,bredouilla,4.46,10,,
4371,bredouillait,1.01,12,,
4372,bredouillant,1.56,12,,
4373,bredouille,5.13,10,,
4374,bredouillements,0.14,15,,
4375,bredouiller,1.96,11,,
4376,bref,74.59,4,,
4377,bresilien,2.3,9,,
4378,bresilienne,2.23,11,,
4379,bresiliens,1.55,10,,
4380,bressan,0.2,7,,
4381,bretelle,3.72,8,,
4382,bretelles,9.32,9,,
4383,breton,5.75,6,,
4384,bretonne,4.53,8,,
4385,bretonnes,1.49,9,,
4386,bretons,2.97,7,,
4387,breuvage,2.09,8,,
4388,breve,21.09,5,,
4389,breves,9.73,6,,
4390,brevet,3.11,6,,
4391,brevetee,0.14,8,,
4392,brevetes,0.07,8,,
4393,bribe,1.55,5,,
4394,bribes,13.18,6,,
4395,bricolage,1.28,9,,
4396,bricole,2.77,7,,
4397,bricoler,1.82,8,,
4398,bricoles,4.06,8,,
4399,bride,9.26,5,,
4400,brides,3.65,6,,
4401,bridge,3.99,6,,
4402,bridger,0.14,7,,
4403,briefing,0.34,8,,
4404,brievement,6.22,10,,
4405,brievete,1.35,8,,
4406,brigade,8.78,7,,
4407,brigades,3.65,8,,
4408,brigadier,13.92,9,,
4409,brigand,1.35,7,,
4410,brigands,2.36,8,,
4411,brilla,1.89,6,,
4412,brillaient,17.84,10,,
4413,brillait,19.39,8,,
4414,brillamment,2.3,11,,
4415,brillant,23.71,8,,
4416,brillante,13.32,9,,
4417,brillantes,7.36,10,,
4418,brillants,18.11,9,,
4419,brille,11.62,6,,
4420,brillent,7.5,8,,
4421,briller,16.76,7,,
4422,brillera,0.14,8,,
4423,brillerent,1.49,10,,
4424,brimades,1.96,8,,
4425,brin,13.99,4,,
4426,brindille,1.62,9,,
4427,brindilles,4.93,10,,
4428,bringue,1.42,7,,
4429,brinquebaler,0.07,12,,
4430,brins,5.27,5,,
4431,brio,1.89,4,,
4432,brioche,4.66,7,,
4433,brioches,2.43,8,,
4434,brique,13.85,6,,
4435,briquees,0.27,8,,
4436,briquer,0.68,7,,
4437,briques,19.86,7,,
4438,briquet,12.3,7,,
4439,briquets,1.35,8,,
4440,briquettes,0.54,10,,
4441,bris,1.35,4,,
4442,brisa,3.85,5,,
4443,brisaient,1.69,9,,
4444,brisait,4.93,7,,
4445,brisant,2.64,7,,
4446,brisants,1.28,8,,
4447,brise,32.63,5,,
4448,brisee,11.48,6,,
4449,brisees,6.28,7,,
4450,brisent,1.49,7,,
4451,briser,16.28,6,,
4452,brisera,0.41,7,,
4453,briserait,0.88,9,,
4454,briseront,0.34,9,,
4455,brises,5.96,6,,
4456,brisez,0.2,6,,
4457,bristol,1.35,7,,
4458,britannique,48.85,11,,
4459,britanniques,33.58,12,,
4460,brocante,1.35,8,,
4461,brocanteur,3.58,10,,
4462,brocanteurs,2.5,11,,
4463,broche,4.32,6,,
4464,brochee,0.34,7,,
4465,broches,1.42,7,,
4466,brochet,3.18,7,,
4467,brochette,1.76,9,,
4468,brochettes,1.28,10,,
4469,brochure,1.76,8,,
4470,brochures,2.23,9,,
4471,brode,7.7,5,,
4472,brodee,3.78,6,,
4473,brodees,2.16,7,,
4474,broder,1.82,6,,
4475,broderie,2.36,8,,
4476,broderies,3.85,9,,
4477,brodes,5.27,6,,
4478,broieras,0.07,8,,
4479,bromure,0.41,7,,
4480,broncha,2.5,7,,
4481,bronchais,0.07,9,,
4482,bronchait,1.15,9,,
4483,bronche,1.96,7,,
4484,broncher,4.26,8,,
4485,bronches,2.23,8,,
4486,bronchite,2.09,9,,
4487,bronzage,1.55,8,,
4488,bronze,24.06,6,,
4489,bronzee,2.43,7,,
4490,bronzees,1.42,8,,
4491,bronzer,1.89,7,,
4492,bronzes,1.55,7,,
4493,brossa,1.15,6,,
4494,brossait,1.42,8,,
4495,brosse,19.25,6,,
4496,brosser,2.23,7,,
4497,brosses,3.65,7,,
4498,brouette,5.14,8,,
4499,brouettes,1.62,9,,
4500,brouhaha,9.39,8,,
4501,brouillage,0.74,10,,
4502,brouillaient,1.49,12,,
4503,brouillait,3.92,10,,
4504,brouillard,34.53,10,,
4505,brouillards,2.36,11,,
4506,brouille,10,8,,
4507,brouillee,2.3,9,,
4508,brouillent,1.35,10,,
4509,brouiller,4.32,9,,
4510,brouilles,3.11,9,,
4511,brouillon,4.13,9,,
4512,brouillonnes,0.14,12,,
4513,brouillons,2.17,10,,
4514,broussaille,2.64,11,,
4515,broussailles,4.53,12,,
4516,broussailleux,1.35,13,,
4517,brousse,10.88,7,,
4518,brouta,0.07,6,,
4519,broutait,0.47,8,,
4520,broutent,0.34,8,,
4521,brouter,2.16,7,,
4522,broutille,0.61,9,,
4523,broutilles,1.22,10,,
4524,broyait,1.28,7,,
4525,broyant,1.08,7,,
4526,broye,1.62,5,,
4527,broyee,1.55,6,,
4528,broyees,0.28,7,,
4529,broyer,1.89,6,,
4530,broyes,0.81,6,,
4531,broyeur,0.2,7,,
4532,bruine,2.97,6,,
4533,bruissait,1.42,9,,
4534,bruissant,1.89,9,,
4535,bruissante,2.09,10,,
4536,bruissantes,0.68,11,,
4537,bruissement,6.96,11,,
4538,bruissements,1.28,12,,
4539,bruit,224.73,5,,
4540,bruits,58.31,6,,
4541,brula,2.77,5,,
4542,brulaient,7.03,9,,
4543,brulais,1.28,7,,
4544,brulait,18.72,7,,
4545,brulant,21.15,7,,
4546,brulante,10.74,8,,
4547,brulantes,4.73,9,,
4548,brulants,5.14,8,,
4549,brule,37.16,5,,
4550,brulee,10.33,6,,
4551,brulees,5.4,7,,
4552,brulent,4.73,7,,
4553,bruler,21.15,6,,
4554,brulera,0.47,7,,
4555,brulerait,1.08,9,,
4556,brules,7.78,6,,
4557,bruleur,0.14,7,,
4558,brulez,0.61,6,,
4559,brulons,0.27,7,,
4560,brulure,9.19,7,,
4561,brulures,3.31,8,,
4562,brume,35.88,5,,
4563,brumes,6.69,6,,
4564,brumeuse,2.09,8,,
4565,brumeux,4.19,7,,
4566,brun,28.78,4,,
4567,brunatre,3.51,8,,
4568,brunatres,1.69,9,,
4569,brune,31.76,5,,
4570,brunes,11.96,6,,
4571,brunies,1.02,7,,
4572,brunis,0.47,6,,
4573,bruns,12.5,5,,
4574,brusque,27.57,7,,
4575,brusquement,111.42,11,,
4576,brusquer,2.03,8,,
4577,brusquerie,4.26,10,,
4578,brusqueries,0.07,11,,
4579,brusques,8.58,8,,
4580,brut,4.05,4,,
4581,brutal,15.47,6,,
4582,brutale,14.19,7,,
4583,brutalement,23.11,11,,
4584,brutales,3.24,8,,
4585,brutalite,9.93,9,,
4586,brutalites,1.22,10,,
4587,brutaux,2.43,7,,
4588,brute,11.22,5,,
4589,brutes,5.48,6,,
4590,bruyamment,10.54,10,,
4591,bruyant,4.8,7,,
4592,bruyante,5.61,8,,
4593,bruyantes,1.82,9,,
4594,bruyants,4.59,8,,
4595,bruyere,4.12,7,,
4596,bruyeres,1.89,8,,
4597,bu,42.23,2,,
4598,buanderie,1.55,9,,
4599,buchant,0.07,7,,
4600,buche,5.14,5,,
4601,bucher,7.36,6,,
4602,bucheron,4.12,8,,
4603,bucherons,4.26,9,,
4604,buchers,2.5,7,,
4605,buches,8.04,6,,
4606,budget,5.34,6,,
4607,budgets,1.28,7,,
4608,buee,13.11,4,,
4609,buffet,20.14,6,,
4610,buffets,1.22,7,,
4611,buffle,1.96,6,,
4612,buffles,2.23,7,,
4613,building,1.42,8,,
4614,buildings,1.82,9,,
4615,buisson,10,7,,
4616,buissonniere,1.22,12,,
4617,buissons,17.09,8,,
4618,bulbe,1.01,5,,
4619,bulldozer,1.89,9,,
4620,bulle,6.62,5,,
4621,bulles,9.93,6,,
4622,bulletin,5.41,8,,
4623,bulletins,2.09,9,,
4624,bumes,1.89,5,,
4625,bungalow,12.43,8,,
4626,bunker,0.68,6,,
4627,bunkers,0.14,7,,
4628,buraliste,0.88,9,,
4629,bureau,130.07,6,,
4630,bureaucrate,0.61,11,,
4631,bureaux,20,7,,
4632,burent,3.99,6,,
4633,burlesque,2.23,9,,
4634,bus,14.05,3,,
4635,buse,2.09,4,,
4636,buste,21.62,5,,
4637,bustes,2.84,6,,
4638,but,74.39,3,,
4639,butait,2.3,6,,
4640,butane,1.08,6,,
4641,butant,1.35,6,,
4642,bute,9.52,4,,
4643,butee,2.91,5,,
4644,butees,0.07,6,,
4645,buter,6.01,5,,
4646,butez,0.07,5,,
4647,butin,5.2,5,,
4648,butine,0.34,6,,
4649,butinent,0.34,8,,
4650,buts,8.51,4,,
4651,butte,5.41,5,,
4652,buttes,2.43,6,,
4653,buvaient,7.09,8,,
4654,buvais,3.11,6,,
4655,buvait,23.38,6,,
4656,buvant,11.48,6,,
4657,buvard,4.46,6,,
4658,buvette,2.91,7,,
4659,buveur,1.49,6,,
4660,buveurs,2.91,7,,
4661,buvez,3.72,5,,
4662,buvions,2.36,7,,
4663,buvons,3.04,6,,
4664,ca,2483.65,2,,
4665,cabaliste,0.2,9,,
4666,caban,1.28,5,,
4667,cabane,25.68,6,,
4668,cabanes,3.78,7,,
4669,cabanon,1.69,7,,
4670,cabans,0.2,6,,
4671,cabaret,4.93,7,,
4672,cabarets,1.76,8,,
4673,cabas,5.68,5,,
4674,cabine,29.86,6,,
4675,cabines,5.2,7,,
4676,cabinet,29.8,7,,
4677,cabinets,6.69,8,,
4678,cable,2.97,5,,
4679,cables,3.11,6,,
4680,caboche,1.22,7,,
4681,cabosse,1.62,7,,
4682,cabossee,1.35,8,,
4683,cabot,0.68,5,,
4684,cabrer,1.08,6,,
4685,cabri,0.41,5,,
4686,cabriole,0.34,8,,
4687,cabriolet,2.91,9,,
4688,cacahuete,0.74,9,,
4689,cacahuetes,2.84,10,,
4690,cacao,1.42,5,,
4691,cacha,6.82,5,,
4692,cachai,1.01,6,,
4693,cachaient,9.66,9,,
4694,cachais,2.03,7,,
4695,cachait,21.89,7,,
4696,cachant,8.11,7,,
4697,cache,56.28,5,,
4698,cachee,15.81,6,,
4699,cachees,6.76,7,,
4700,cachemire,2.64,9,,
4701,cachent,5,7,,
4702,cacher,48.45,6,,
4703,cacherai,1.01,8,,
4704,caches,12.63,6,,
4705,cachet,4.93,6,,
4706,cachete,0.74,7,,
4707,cachetees,0.2,9,,
4708,cachetes,0.2,8,,
4709,cachets,5.27,7,,
4710,cachette,14.73,8,,
4711,cachettes,2.43,9,,
4712,cachez,1.35,6,,
4713,cachons,0.81,7,,
4714,cachot,5.95,6,,
4715,cachots,1.15,7,,
4716,cachottier,0.54,10,,
4717,cacophonie,1.22,10,,
4718,cacophonique,0.27,12,,
4719,cactus,2.3,6,,
4720,cadastre,3.45,8,,
4721,cadavre,32.3,7,,
4722,cadavres,21.76,8,,
4723,caddie,1.28,6,,
4724,caddies,1.15,7,,
4725,cadeau,32.77,6,,
4726,cadeaux,18.04,7,,
4727,cadenas,2.43,7,,
4728,cadenassait,0.14,11,,
4729,cadence,14.6,7,,
4730,cadences,1.15,8,,
4731,cadet,5.81,5,,
4732,cadets,1.96,6,,
4733,cadette,3.98,7,,
4734,cadran,6.55,6,,
4735,cadrans,1.15,7,,
4736,cadre,30.27,5,,
4737,cadrer,0.34,6,,
4738,cadres,13.04,6,,
4739,cafard,8.31,6,,
4740,cafardeux,0.34,9,,
4741,cafards,2.1,7,,
4742,cafe,170.4,4,,
4743,cafeine,0.14,7,,
4744,cafes,22.36,5,,
4745,cafeteria,1.15,9,,
4746,cafetier,2.77,8,,
4747,cafetiere,5.54,9,,
4748,cafouillage,0.41,11,,
4749,cafouillages,0.14,12,,
4750,cafouillant,0.07,11,,
4751,cage,34.86,4,,
4752,cageot,3.11,6,,
4753,cageots,4.26,7,,
4754,cages,6.96,5,,
4755,cagibi,5.07,6,,
4756,cagneuse,0.07,8,,
4757,cagnotte,1.01,8,,
4758,cagoule,1.28,7,,
4759,cahier,20.07,6,,
4760,cahiers,11.49,7,,
4761,cahot,1.42,5,,
4762,cahotant,1.83,8,,
4763,cahots,2.97,6,,
4764,cahute,1.01,6,,
4765,caid,6.82,4,,
4766,caids,1.15,5,,
4767,caillasse,1.35,9,,
4768,caillasses,1.35,10,,
4769,caille,6.35,6,,
4770,cailles,1.62,7,,
4771,caillot,1.82,7,,
4772,caillots,1.01,8,,
4773,caillou,11.22,7,,
4774,caillouteuse,1.42,12,,
4775,caillouteux,1.35,11,,
4776,cailloux,27.36,8,,
4777,caisse,51.01,6,,
4778,caisses,18.38,7,,
4779,caissier,1.96,8,,
4780,caissiere,4.19,9,,
4781,caisson,0.81,7,,
4782,caissons,2.23,8,,
4783,cajoler,1.15,7,,
4784,cajoleurs,0.07,9,,
4785,cake,1.69,4,,
4786,cala,2.16,4,,
4787,calai,0.14,5,,
4788,calais,0.14,6,,
4789,calamars,0.34,8,,
4790,calamite,1.62,8,,
4791,calamites,1.42,9,,
4792,calamiteuses,0.07,12,,
4793,calcaire,1.76,8,,
4794,calcinees,1.62,9,,
4795,calcium,0.74,7,,
4796,calcul,11.55,6,,
4797,calcula,1.76,7,,
4798,calculait,1.49,9,,
4799,calculant,1.35,9,,
4800,calcule,7.84,7,,
4801,calculee,2.23,8,,
4802,calculer,5.61,8,,
4803,calculs,8.31,7,,
4804,cale,5.54,4,,
4805,caleche,3.24,7,,
4806,calecon,4.86,7,,
4807,calecons,1.82,8,,
4808,calee,1.69,5,,
4809,calees,0.34,6,,
4810,calembours,1.49,10,,
4811,calendrier,12.84,10,,
4812,calendriers,1.69,11,,
4813,calepin,3.11,7,,
4814,caler,2.5,5,,
4815,calerait,0.07,8,,
4816,cales,1.42,5,,
4817,calez,2.36,5,,
4818,calfeutraient,0.34,13,,
4819,calfeutrait,0.2,11,,
4820,calibre,5.14,7,,
4821,calibres,1.15,8,,
4822,calice,2.64,6,,
4823,calife,1.96,6,,
4824,californien,0.61,11,,
4825,californiens,0.14,12,,
4826,califourchon,4.19,12,,
4827,calin,1.76,5,,
4828,caline,2.03,6,,
4829,calins,0.95,6,,
4830,calligraphiant,0.2,14,,
4831,calligraphie,1.97,12,,
4832,calligraphiees,0.07,14,,
4833,calma,2.97,5,,
4834,calmait,3.38,7,,
4835,calmant,1.29,7,,
4836,calmants,1.15,8,,
4837,calme,131.76,5,,
4838,calmee,3.45,6,,
4839,calmement,12.43,9,,
4840,calmer,14.66,6,,
4841,calmera,0.61,7,,
4842,calmes,9.13,6,,
4843,calmez,1.55,6,,
4844,calmos,0.88,6,,
4845,calomnie,1.69,8,,
4846,calomniee,0.27,9,,
4847,calomnies,2.3,9,,
4848,calories,0.95,8,,
4849,calotte,3.92,7,,
4850,calque,0.68,6,,
4851,calvaire,7.7,8,,
4852,calvitie,2.77,8,,
4853,camarade,38.85,8,,
4854,camaraderie,3.24,11,,
4855,camaraderies,0.34,12,,
4856,camarades,60.14,9,,
4857,cambouis,4.59,8,,
4858,cambree,1.55,7,,
4859,cambrees,0.28,8,,
4860,cambriolage,2.03,11,,
4861,cambriolages,0.74,12,,
4862,cambriolaient,0.07,13,,
4863,cambriole,0.41,9,,
4864,cambriolee,0.07,10,,
4865,cambrioler,0.27,10,,
4866,cambrioleur,1.08,11,,
4867,cambrioleurs,1.28,12,,
4868,cameleon,0.68,8,,
4869,camelias,1.96,8,,
4870,camelot,1.28,7,,
4871,camelote,4.46,8,,
4872,camelots,1.22,8,,
4873,camembert,3.18,9,,
4874,camera,4.8,6,,
4875,cameraman,0.34,9,,
4876,cameras,1.96,7,,
4877,cames,0.34,5,,
4878,camion,30.27,6,,
4879,camionnette,15.54,11,,
4880,camionnettes,2.43,12,,
4881,camionneur,1.62,10,,
4882,camions,20.47,7,,
4883,camisole,1.35,8,,
4884,camouflage,1.82,10,,
4885,camoufle,1.28,8,,
4886,camouflee,1.49,9,,
4887,camoufler,2.23,9,,
4888,camoufles,1.15,9,,
4889,camp,75.61,4,,
4890,campagnard,2.02,10,,
4891,campagnarde,2.84,11,,
4892,campagnardes,1.08,12,,
4893,campagne,94.73,8,,
4894,campagnes,12.5,9,,
4895,campais,0.07,7,,
4896,campait,1.76,7,,
4897,campanile,1.42,9,,
4898,campaniles,0.68,10,,
4899,campe,3.59,5,,
4900,campement,5.34,9,,
4901,campements,1.15,10,,
4902,campent,0.54,7,,
4903,camper,3.92,6,,
4904,campeurs,3.72,8,,
4905,campeuses,0.07,9,,
4906,camping,2.97,7,,
4907,camps,21.62,5,,
4908,campus,1.62,6,,
4909,canadien,2.97,8,,
4910,canadienne,5.61,10,,
4911,canadiens,1.28,9,,
4912,canaille,4.59,8,,
4913,canaillerie,0.41,11,,
4914,canailles,1.15,9,,
4915,canal,20.95,5,,
4916,canalisations,0.81,13,,
4917,canape,17.97,6,,
4918,canapes,2.3,7,,
4919,canard,16.15,6,,
4920,canarder,0.47,8,,
4921,canards,11.49,7,,
4922,canari,2.44,6,,
4923,canaris,1.28,7,,
4924,canasson,1.01,8,,
4925,canaux,6.49,6,,
4926,cancer,8.78,6,,
4927,cancre,2.5,6,,
4928,cancres,1.28,7,,
4929,candelabre,1.42,10,,
4930,candelabres,1.82,11,,
4931,candeur,4.46,7,,
4932,candi,0.34,5,,
4933,candidat,2.84,8,,
4934,candidate,0.74,9,,
4935,candidats,3.99,9,,
4936,candidature,1.42,11,,
4937,candide,3.92,7,,
4938,cane,1.55,4,,
4939,canebiere,1.28,9,,
4940,caneton,1.15,7,,
4941,canette,3.18,7,,
4942,canettes,3.45,8,,
4943,canevas,1.35,7,,
4944,caniche,3.72,7,,
4945,canicule,3.31,8,,
4946,canif,4.32,5,,
4947,canine,1.69,6,,
4948,caniveau,5.27,8,,
4949,caniveaux,1.89,9,,
4950,canne,27.36,5,,
4951,cannelle,2.97,8,,
4952,cannes,7.7,6,,
4953,cannibale,0.41,9,,
4954,cannibales,0.95,10,,
4955,cannibalisme,0.47,12,,
4956,canoe,1.22,5,,
4957,canon,30.54,5,,
4958,canonisez,0.07,9,,
4959,canonnade,2.57,9,,
4960,canons,23.72,6,,
4961,canot,7.16,5,,
4962,canoter,0.2,7,,
4963,canots,2.03,6,,
4964,cantatrice,1.76,10,,
4965,cantine,10.61,7,,
4966,cantines,1.55,8,,
4967,cantique,2.5,8,,
4968,cantiques,4.12,9,,
4969,canton,3.58,6,,
4970,cantonade,3.45,9,,
4971,cantonais,0.07,9,,
4972,cantonale,0.07,9,,
4973,cantonnai,0.14,9,,
4974,cantonnaient,0.2,12,,
4975,cantonnement,3.24,12,,
4976,cantonnements,1.96,13,,
4977,cantonnier,1.96,10,,
4978,cantonniers,1.01,11,,
4979,cantons,1.15,7,,
4980,canular,0.74,7,,
4981,canyon,0.47,6,,
4982,caoutchouc,16.01,10,,
4983,cap,15.68,3,,
4984,capable,69.73,7,,
4985,capables,16.62,8,,
4986,capacite,8.38,8,,
4987,capacites,6.01,9,,
4988,cape,10.34,4,,
4989,capeline,2.09,8,,
4990,capes,1.35,5,,
4991,capharnaum,1.49,10,,
4992,capitaine,88.45,9,,
4993,capitaines,4.12,10,,
4994,capital,13.51,7,,
4995,capitale,27.98,8,,
4996,capitales,5.14,9,,
4997,capitalisme,3.65,11,,
4998,capitaliste,1.82,11,,
4999,capitaux,3.38,8,,
5000,capiteuse,0.54,9,,
5001,capiteux,1.49,8,,
5002,capitonnaient,0.07,13,,
5003,capitulaient,0.14,12,,
5004,capitulation,7.7,12,,
5005,capitule,1.83,8,,
5006,capituler,1.82,9,,
5007,caporal,17.03,7,,
5008,caporaux,1.96,8,,
5009,capot,7.3,5,,
5010,capotes,4.59,7,,
5011,cappuccino,0.07,10,,
5012,caprice,9.32,7,,
5013,caprices,8.99,8,,
5014,capricieuse,2.16,11,,
5015,capricieuses,1.55,12,,
5016,capricieux,3.04,10,,
5017,capsule,1.82,7,,
5018,capsules,1.35,8,,
5019,capte,2.97,5,,
5020,capter,3.85,6,,
5021,captes,0.2,6,,
5022,captif,2.77,6,,
5023,captifs,2.57,7,,
5024,captivait,1.08,9,,
5025,captivant,1.09,9,,
5026,captive,1.49,7,,
5027,captivite,4.46,9,,
5028,capture,3.92,7,,
5029,capturee,0.27,8,,
5030,capturer,1.82,8,,
5031,captures,0.68,8,,
5032,capuchon,5.81,8,,
5033,caquetait,0.07,9,,
5034,car,485.2,3,,
5035,carabine,10.07,8,,
5036,carabines,1.08,9,,
5037,carabiniers,1.49,11,,
5038,caracolait,0.2,10,,
5039,caractere,47.5,9,,
5040,caracteres,14.66,10,,
5041,caracterise,2.16,11,,
5042,caracteristique,4.46,15,,
5043,carafe,4.46,6,,
5044,carafes,1.01,7,,
5045,caramel,2.64,7,,
5046,caramels,1.08,8,,
5047,carapace,6.62,8,,
5048,carapaces,1.76,9,,
5049,carats,1.08,6,,
5050,caravane,5.14,8,,
5051,caravanes,1.62,9,,
5052,caravelle,0.2,9,,
5053,carbone,1.62,7,,
5054,carboniser,0.34,10,,
5055,carburant,1.49,9,,
5056,carburateur,1.15,11,,
5057,carbure,1.82,7,,
5058,carcan,2.77,6,,
5059,carcans,1.42,7,,
5060,carcasse,10.41,8,,
5061,carcasses,3.45,9,,
5062,carceral,1.15,8,,
5063,cardiaque,3.58,9,,
5064,cardiaques,0.82,10,,
5065,cardigan,0.47,8,,
5066,cardigans,0.14,9,,
5067,cardinal,6.42,8,,
5068,cardinaux,3.44,9,,
5069,careme,1.82,6,,
5070,carence,1.49,7,,
5071,caressa,9.46,7,,
5072,caressaient,2.23,11,,
5073,caressais,2.03,9,,
5074,caressait,14.46,9,,
5075,caressant,9.73,9,,
5076,caressante,1.55,10,,
5077,caressantes,0.54,11,,
5078,caresse,36.82,7,,
5079,caressee,2.7,8,,
5080,caressent,1.62,9,,
5081,caresser,18.24,8,,
5082,caresses,18.38,8,,
5083,cargaison,3.18,9,,
5084,cargaisons,1.08,10,,
5085,cargo,3.99,5,,
5086,cargos,3.11,6,,
5087,caricatural,1.22,11,,
5088,caricature,4.33,10,,
5089,caricatures,2.23,11,,
5090,cariee,0.14,6,,
5091,carillon,5.54,8,,
5092,carillonner,0.61,11,,
5093,carlingue,2.36,9,,
5094,carnage,3.18,7,,
