,word,orthosyll,syll,freq,pron,len,phlen
7013,construire,cons-trui-re,k§s-tR8iR,52.64,k§stR8iR,10,8
7014,consul,con-sul,k§-syl,10.07,k§syl,6,5
7015,consulaire,con-su-lai-re,k§-sy-lER,0.81,k§sylER,10,7
7016,consulat,con-su-lat,k§-sy-la,2.43,k§syla,8,6
7018,consultant,con-sul-tant,k§-syl-t@,0.2,k§sylt@,10,7
7021,consulte,con-sul-te,k§-sylt,0.07,k§sylt,8,6
7022,consulter,con-sul-ter,k§-syl-te,36.22,k§sylte,9,7
7023,consumable,con-su-ma-ble,k§-sy-mabl,0.07,k§symabl,10,8
7025,consumer,con-su-mer,k§-sy-me,9.93,k§syme,8,6
7027,consécutif,con-sé-cu-tif,k§-se-ky-tif,1.82,k§sekytif,10,9
7031,conséquent,con-sé-quent,k§-se-k@,12.43,k§sek@,10,6
7032,contact,con-tact,k§-takt,65.47,k§takt,7,6
7033,contacter,con-tac-ter,k§-tak-te,2.03,k§takte,9,7
7034,contacteur,con-tac-teur,k§-tak-t9R,0.07,k§takt9R,10,8
7035,contagieux,con-ta-gieux,k§-ta-Zj2,4.05,k§taZj2,10,7
7036,contagion,con-ta-gion,k§-ta-Zj§,3.72,k§taZj§,9,7
7037,container,con-tai-ner,k§-tE-nER,1.01,k§tEnER,9,7
7040,contaminer,con-ta-mi-ner,k§-ta-mi-ne,4.32,k§tamine,10,8
7041,conte,con-te,k§t,15.07,k§t,5,3
7045,contempler,con-tem-pler,k§-t@-ple,64.46,k§t@ple,10,7
7048,contenance,con-te-nan-ce,k§-t°-n@s,6.15,k§t°n@s,10,7
7049,contenant,con-te-nant,k§-t°-n@,0.74,k§t°n@,9,6
7050,conteneur,con-te-neur,k§-t°-n9R,0.07,k§t°n9R,9,7
7051,contenir,con-te-nir,k§-t°-niR,58.92,k§t°niR,8,7
7052,content,con-tent,k§-t@,86.49,k§t@,7,4
7054,contenter,con-ten-ter,k§-t@-te,60.61,k§t@te,9,6
7056,contention,con-ten-tion,k§-t@-sj§,0.41,k§t@sj§,10,7
7057,contenu,con-te-nu,k§-t°-ny,8.04,k§t°ny,7,6
7058,conter,con-ter,k§-te,8.99,k§te,6,4
7062,conteste,con-tes-te,k§-tEst,1.01,k§tEst,8,6
7063,contester,con-tes-ter,k§-tEs-te,8.58,k§tEste,9,7
7064,conteur,con-teur,k§-t9R,4.46,k§t9R,7,5
7065,contexte,con-tex-te,k§-tEkst,2.3,k§tEkst,8,7
7066,contigu,con-ti-gu,k§-ti-gy,2.3,k§tigy,7,6
7067,contiguïté,con-ti-guï-té,k§-ti-g8i-te,0.07,k§tig8ite,10,9
7068,continence,con-ti-nen-ce,k§-ti-n@s,0.61,k§tin@s,10,7
7069,continent,con-ti-nent,k§-ti-n@,15.95,k§tin@,9,6
7072,contingent,con-tin-gent,k§-t5-Z@,2.64,k§t5Z@,10,6
7073,continu,con-ti-nu,k§-ti-ny,9.66,k§tiny,7,6
7076,continue,con-ti-nue,k§-ti-ny,8.85,k§tiny,8,6
7077,continuel,con-ti-nuel,k§-ti-n8El,6.76,k§tin8El,9,8
7078,continuer,con-ti-nuer,k§-ti-n8e,282.77,k§tin8e,9,7
7079,continuité,con-ti-nui-té,k§-ti-n8i-te,4.73,k§tin8ite,10,9
7080,continuum,con-ti-nuum,k§-ti-n8Om,0.27,k§tin8Om,9,8
7082,contondant,con-ton-dant,k§-t§-d@,0.47,k§t§d@,10,6
7083,contorsion,con-tor-sion,k§-tOR-sj§,2.23,k§tORsj§,10,8
7085,contour,con-tour,k§-tuR,16.28,k§tuR,7,5
7087,contourner,con-tour-ner,k§-tuR-ne,19.59,k§tuRne,10,7
7088,contourné,con-tour-né,k§-tuR-ne,1.28,k§tuRne,9,7
7092,contracter,con-trac-ter,k§-tRak-te,12.3,k§tRakte,10,8
7096,contracté,con-trac-té,k§-tRak-te,2.36,k§tRakte,9,8
7101,contraint,con-traint,k§-tR5,4.46,k§tR5,9,5
7102,contrainte,con-train-te,k§-tR5t,5.81,k§tR5t,10,6
7103,contraire,con-trai-re,k§-tRER,14.53,k§tRER,9,6
7105,contralto,con-tral-to,k§-tRal-to,0.27,k§tRalto,9,8
7107,contrarier,con-tra-rier,k§-tRa-Rje,13.31,k§tRaRje,10,8
7108,contrarié,con-tra-rié,k§-tRa-Rje,4.12,k§tRaRje,9,8
7111,contraste,con-tras-te,k§-tRast,12.5,k§tRast,9,7
7112,contraster,con-tras-ter,k§-tRas-te,8.58,k§tRaste,10,8
7113,contrasté,con-tras-té,k§-tRas-te,0.41,k§tRaste,9,8
7114,contrat,con-trat,k§-tRa,15.0,k§tRa,7,5
7116,contre,con-tre,k§tR,591.15,k§tR,6,4
7119,contrebas,con-tre-bas,k§-tR°-ba,6.49,k§tR°ba,9,7
7125,contrecoup,con-tre-coup,k§-tR°-ku,2.03,k§tR°ku,10,7
7127,contredire,con-tre-di-re,k§-tR°-diR,7.84,k§tR°diR,10,8
7128,contredit,con-tre-dit,k§-tR°-di,0.27,k§tR°di,9,7
7130,contrefait,con-tre-fait,k§-tR°-fE,0.95,k§tR°fE,10,7
7133,contrefort,con-tre-fort,k§-tR°-fOR,3.65,k§tR°fOR,10,8
7141,contrer,con-trer,k§-tRe,18.72,k§tRe,7,5
7144,contresens,con-tre-sens,k§-tR°-s@s,1.55,k§tR°s@s,10,8
7149,contrevent,con-tre-vent,k§-tR°-v@,1.15,k§tR°v@,10,7
7152,contribuer,con-tri-buer,k§-tRi-b8e,18.11,k§tRib8e,10,8
7154,contrit,con-trit,k§-tRi,2.5,k§tRi,7,5
7155,contrition,con-tri-tion,k§-tRi-sj§,1.76,k§tRisj§,10,8
7156,control,con-trol,k§-tRol,0.07,k§tRol,7,6
7157,contrordre,con-tror-dre,k§-tRORdR,0.34,k§tRORdR,10,8
7160,contrée,con-trée,k§-tRe,5.41,k§tRe,7,5
7162,contrôle,con-trô-le,k§-tRol,19.66,k§tRol,8,6
7163,contrôler,con-trô-ler,k§-tRo-le,21.01,k§tRole,9,7
7164,contrôleur,con-trô-leur,k§-tRo-l9R,5.14,k§tRol9R,10,8
7165,contumace,con-tu-ma-ce,k§-ty-mas,0.61,k§tymas,9,7
7166,contumax,con-tu-max,k§-ty-maks,0.2,k§tymaks,8,8
7167,contusion,con-tu-sion,k§-ty-zj§,0.74,k§tyzj§,9,7
7170,convaincre,con-vain-cre,k§-v5kR,46.35,k§v5kR,10,6
7171,convaincu,con-vain-cu,k§-v5-ky,11.35,k§v5ky,9,6
7174,convalo,con-va-lo,k§-va-lo,0.34,k§valo,7,6
7175,convenable,con-ve-na-ble,k§-v°-nabl,16.22,k§v°nabl,10,8
7176,convenance,con-ve-nan-ce,k§-v°-n@s,5.47,k§v°n@s,10,7
7177,convenir,con-ve-nir,k§-v°-niR,73.78,k§v°niR,8,7
7178,convent,con-vent,k§-v@,0.07,k§v@,7,4
7180,convention,con-ven-tion,k§-v@-sj§,12.64,k§v@sj§,10,7
7182,conventuel,con-ven-tuel,k§-v@-t8El,0.68,k§v@t8El,10,8
7183,convenu,con-ve-nu,k§-v°-ny,5.07,k§v°ny,7,6
7185,convergent,con-ver-gent,k§-vER-Z@,1.08,k§vERZ@,10,7
7186,converger,con-ver-ger,k§-vER-Ze,3.99,k§vERZe,9,7
7187,convers,con-vers,k§-vER,0.95,k§vER,7,5
7189,converse,con-ver-se,k§-vERs,1.28,k§vERs,8,6
7190,converser,con-ver-ser,k§-vER-se,4.53,k§vERse,9,7
7191,conversion,con-ver-sion,k§-vER-sj§,3.92,k§vERsj§,10,8
7192,converti,con-ver-ti,k§-vER-ti,1.22,k§vERti,8,7
7194,convertir,con-ver-tir,k§-vER-tiR,10.34,k§vERtiR,9,8
7195,convexe,con-vexe,k§-vEks,0.88,k§vEks,7,6
7196,convexité,con-vexi-té,k§-vEk-si-te,0.2,k§vEksite,9,9
7197,conviction,con-vic-tion,k§-vik-sj§,37.23,k§viksj§,10,8
7198,convier,con-vier,k§-vje,7.5,k§vje,7,5
7199,convive,con-vi-ve,k§-viv,6.49,k§viv,7,5
7200,convivial,con-vi-vial,k§-vi-vjal,0.27,k§vivjal,9,8
7202,convié,con-vié,k§-vje,0.41,k§vje,6,5
7204,convoi,con-voi,k§-vwa,18.78,k§vwa,6,5
7205,convoiter,con-voi-ter,k§-vwa-te,5.27,k§vwate,9,7
7206,convoiteur,con-voi-teur,k§-vwa-t9R,0.07,k§vwat9R,10,8
7207,convoiteux,con-voi-teux,k§-vwa-t2,0.07,k§vwat2,10,7
7208,convoitise,con-voi-ti-se,k§-vwa-tiz,5.2,k§vwatiz,10,8
7209,convoler,con-vo-ler,k§-vo-le,0.61,k§vole,8,6
7210,convoquer,con-vo-quer,k§-vo-ke,19.32,k§voke,9,6
7211,convoyage,con-voya-ge,k§-vwa-jaZ,0.2,k§vwajaZ,9,8
7212,convoyer,con-voyer,k§-vwa-je,1.89,k§vwaje,8,7
7213,convoyeur,con-voyeur,k§-vwa-j9R,0.95,k§vwaj9R,9,8
7214,convulser,con-vul-ser,k§-vyl-se,1.42,k§vylse,9,7
7215,convulsif,con-vul-sif,k§-vyl-sif,3.04,k§vylsif,9,8
7216,convulsion,con-vul-sion,k§-vyl-sj§,5.61,k§vylsj§,10,8
7217,convulsé,con-vul-sé,k§-vyl-se,0.74,k§vylse,8,7
7218,conçu,con-çu,k§-sy,2.36,k§sy,5,4
7219,cooccupant,co-oc-cu-pant,ko-o-ky-p@,0.07,kookyp@,10,7
7220,cookie,co-okie,ku-ki,0.07,kuki,6,4
7221,cool,co-ol,kul,3.18,kul,4,3
7222,coolie,coo-lie,ku-li,0.41,kuli,6,4
7223,coolos,co-olos,ku-los,0.41,kulos,6,5
7224,cooptation,co-op-ta-tion,ko-Op-ta-sj§,0.14,koOptasj§,10,9
7225,coopter,co-op-ter,ko-Op-te,0.07,koOpte,7,6
7226,coopé,co-opé,ko-o-pe,0.27,koope,5,5
7227,coopérant,co-opé-rant,ko-o-pe-R@,0.14,koopeR@,9,7
7228,coopératif,co-opé-ra-tif,ko-o-pe-Ra-tif,0.47,koopeRatif,10,10
7231,coopérer,co-opé-rer,ko-o-pe-Re,1.08,koopeRe,8,7
7234,coordonner,co-or-don-ner,ko-OR-do-ne,2.09,koORdone,10,8
7235,coordonné,co-or-don-né,ko-OR-do-ne,0.07,koORdone,9,8
7236,coordonnée,co-or-don-née,ko-OR-do-ne,1.55,koORdone,10,8
7237,cop,cop,kOp,0.27,kOp,3,3
7238,copain,co-pain,ko-p5,103.38,kop5,6,4
7239,copaïba,co-paï-ba,ko-pa-i-ba,0.07,kopaiba,7,7
7240,copeau,co-peau,ko-po,5.41,kopo,6,4
7241,copie,co-pie,ko-pi,14.26,kopi,5,4
7242,copier,co-pier,ko-pje,8.45,kopje,6,5
7243,copieur,co-pieur,ko-pj9R,0.2,kopj9R,7,6
7245,copieux,co-pieux,ko-pj2,1.82,kopj2,7,5
7246,copinage,co-pi-na-ge,ko-pi-naZ,0.27,kopinaZ,8,7
7247,copiner,co-pi-ner,ko-pi-ne,0.27,kopine,7,6
7248,copineur,co-pi-neur,ko-pi-n9R,0.2,kopin9R,8,7
7249,copiste,co-pis-te,ko-pist,0.81,kopist,7,6
7250,copra,co-pra,ko-pRa,0.07,kopRa,5,5
7253,coproduire,co-pro-dui-re,ko-pRo-d8iR,0.07,kopRod8iR,10,9
7254,coprologie,co-pro-lo-gie,ko-pRo-lo-Zi,0.07,kopRoloZi,10,9
7256,coprophage,co-pro-pha-ge,ko-pRo-faZ,0.2,kopRofaZ,10,8
7257,coprophile,co-pro-phi-le,ko-pRo-fil,0.07,kopRofil,10,8
7259,cops,cops,kOp,0.07,kOp,4,3
7260,copte,cop-te,kOpt,0.34,kOpt,5,4
7261,copulant,co-pu-lant,ko-py-l@,0.07,kopyl@,8,6
7262,copulation,co-pu-la-tion,ko-py-la-sj§,0.47,kopylasj§,10,9
7263,copuler,co-pu-ler,ko-py-le,0.54,kopyle,7,6
7264,copyright,co-py-right,ko-pi-Rajt,0.14,kopiRajt,9,8
7265,coq,co-q,kOk,19.12,kOk,3,3
7266,coquard,co-quard,ko-kaR,0.41,kokaR,7,5
7267,coquart,co-quart,ko-kaR,0.14,kokaR,7,5
7268,coque,co-que,kOk,12.64,kOk,5,3
7269,coquebin,co-que-bin,kO-k°-b5,0.34,kOk°b5,8,6
7270,coquelet,co-que-let,kO-k°-lE,0.07,kOk°lE,8,6
7271,coquelicot,co-que-li-cot,kO-k°-li-ko,3.24,kOk°liko,10,8
7272,coquelle,co-quel-le,ko-kEl,0.07,kokEl,8,5
7273,coqueluche,co-que-lu-che,kO-k°-lyS,2.43,kOk°lyS,10,7
7274,coquemar,co-que-mar,kO-k°-maR,0.07,kOk°maR,8,7
7275,coquerelle,co-que-rel-le,kO-k°-REl,0.07,kOk°REl,10,7
7276,coquet,co-quet,ko-kE,6.55,kokE,6,4
7277,coquetel,co-que-tel,kO-k°-tEl,0.07,kOk°tEl,8,7
7278,coquetier,co-que-tier,kO-k°-tje,0.61,kOk°tje,9,7
7279,coquette,co-quet-te,ko-kEt,2.23,kokEt,8,5
7282,coquillage,co-quil-la-ge,ko-ki-jaZ,10.47,kokijaZ,10,7
7283,coquillard,co-quil-lard,ko-ki-jaR,0.74,kokijaR,10,7
7284,coquillart,co-quil-lart,ko-ki-jaR,0.07,kokijaR,10,7
7285,coquille,co-quil-le,ko-kij,13.45,kokij,8,5
7286,coquilleux,co-quil-leux,ko-ki-j2,0.07,kokij2,10,6
7287,coquin,co-quin,ko-k5,4.26,kok5,6,4
7289,coquinerie,co-qui-ne-rie,ko-ki-n°-Ri,0.2,kokin°Ri,10,8
7290,coquinet,co-qui-net,ko-ki-nE,0.07,kokinE,8,6
7291,cor,cor,kOR,3.92,kOR,3,3
7292,cora,co-ra,ko-Ra,0.34,koRa,4,4
7293,corail,co-rail,ko-Raj,3.51,koRaj,6,5
7294,coran,co-ran,ko-R@,2.43,koR@,5,4
7295,coranique,co-ra-ni-que,ko-Ra-nik,0.34,koRanik,9,7
7296,corbeau,cor-beau,kOR-bo,8.85,kORbo,7,5
7297,corbeille,cor-beil-le,kOR-bEj,19.12,kORbEj,9,6
7298,corbillard,cor-bil-lard,kOR-bi-jaR,4.19,kORbijaR,10,8
7299,corbin,cor-bin,kOR-b5,0.47,kORb5,6,5
7300,corbières,cor-biè-res,kOR-bjER,0.14,kORbjER,9,7
7301,cordage,cor-da-ge,kOR-daZ,3.85,kORdaZ,7,6
7302,corde,cor-de,kORd,48.38,kORd,5,4
7303,cordeau,cor-deau,kOR-do,1.76,kORdo,7,5
7304,cordelette,cor-de-let-te,kOR-d°-lEt,3.72,kORd°lEt,10,8
7305,cordelier,cor-de-lier,kOR-d°-lje,2.77,kORd°lje,9,8
7306,corderie,cor-de-rie,kOR-d°-Ri,0.14,kORd°Ri,8,7
7307,cordial,cor-dial,kOR-djal,4.8,kORdjal,7,7
7309,cordialité,cor-dia-li-té,kOR-dja-li-te,3.65,kORdjalite,10,10
7310,cordiforme,cor-di-for-me,kOR-di-fORm,0.27,kORdifORm,10,9
7311,cordillère,cor-dil-lè-re,kOR-di-jER,0.14,kORdijER,10,8
7312,cordite,cor-di-te,kOR-dit,0.07,kORdit,7,6
7313,cordon,cor-don,kOR-d§,12.23,kORd§,6,5
7315,cordonnet,cor-don-net,kOR-do-nE,0.81,kORdonE,9,7
7316,cordonnier,cor-don-nier,kOR-do-nje,3.92,kORdonje,10,8
7317,cordouan,cor-douan,kOR-du-@,0.07,kORdu@,8,6
7318,cordé,cor-dé,kOR-de,0.07,kORde,5,5
7319,cordée,cor-dée,kOR-de,0.61,kORde,6,5
7320,coriace,co-ria-ce,ko-Rjas,2.57,koRjas,7,6
7321,coriacité,co-ria-ci-té,ko-Rja-si-te,0.07,koRjasite,9,9
7322,coriandre,co-rian-dre,ko-Rj@dR,0.27,koRj@dR,9,7
7323,corindon,co-rin-don,ko-R5-d§,0.14,koR5d§,8,6
7324,corinthien,co-rin-thien,ko-R5-tj5,0.54,koR5tj5,10,7
7325,cormoran,cor-mo-ran,kOR-mo-R@,1.22,kORmoR@,8,7
7326,cornac,cor-nac,kOR-nak,0.41,kORnak,6,6
7327,cornaline,cor-na-li-ne,kOR-na-lin,0.14,kORnalin,9,8
7328,cornard,cor-nard,kOR-naR,0.47,kORnaR,7,6
7329,corne,cor-ne,kORn,19.46,kORn,5,4
7330,cornecul,cor-ne-cul,kOR-n°-ky,0.2,kORn°ky,8,7
7331,corneille,cor-neil-le,kOR-nEj,2.36,kORnEj,9,6
7332,cornemuse,cor-ne-mu-se,kOR-n°-myz,0.61,kORn°myz,9,8
7333,corner,cor-ner,koR-ne,3.38,koRne,6,5
7334,cornet,cor-net,kOR-nE,8.04,kORnE,6,5
7335,cornette,cor-net-te,kOR-nEt,2.7,kORnEt,8,6
7336,corniaud,cor-niaud,kOR-njo,5.34,kORnjo,8,6
7337,corniche,cor-ni-che,kOR-niS,7.03,kORniS,8,6
7338,cornichon,cor-ni-chon,kOR-ni-S§,2.3,kORniS§,9,7
7339,cornillon,cor-nil-lon,kOR-ni-j§,0.2,kORnij§,9,7
7340,cornouille,cor-nouil-le,kOR-nuj,0.14,kORnuj,10,6
7342,cornu,cor-nu,kOR-ny,1.62,kORny,5,5
7343,cornue,cor-nue,kOR-ny,1.08,kORny,6,5
7344,corné,cor-né,kOR-ne,1.42,kORne,5,5
7345,cornée,cor-née,kOR-ne,1.22,kORne,6,5
7346,cornélien,cor-né-lien,kOR-ne-lj5,0.54,kORnelj5,9,8
7347,corollaire,co-rol-lai-re,ko-Ro-lER,0.74,koRolER,10,7
7348,corolle,co-rol-le,ko-ROl,3.65,koROl,7,5
7349,coron,co-ron,ko-R§,1.76,koR§,5,4
7350,corona,co-ro-na,ko-Ro-na,0.27,koRona,6,6
7351,coronaire,co-ro-nai-re,ko-Ro-nER,0.14,koRonER,9,7
7352,corozo,co-ro-zo,ko-Ro-zo,0.2,koRozo,6,6
7353,corporal,cor-po-ral,kOR-po-Ral,0.07,kORpoRal,8,8
7358,corporel,cor-po-rel,kOR-po-REl,2.7,kORpoREl,8,8
7359,corps,corps,kOR,480.34,kOR,5,3
7360,corpsard,corp-sard,kOR-psaRd,0.07,kORpsaRd,8,8
7361,corpulence,cor-pu-len-ce,kOR-py-l@s,1.76,kORpyl@s,10,8
7362,corpulent,cor-pu-lent,kOR-py-l@,1.76,kORpyl@,9,7
7363,corpus,cor-pus,kOR-pys,0.88,kORpys,6,6
7364,corpuscule,cor-pus-cu-le,kOR-pys-kyl,0.47,kORpyskyl,10,9
7365,corral,cor-ral,ko-Ral,1.08,koRal,6,5
7366,correct,cor-rect,ko-REkt,8.18,koREkt,7,6
7368,correcteur,cor-rec-teur,ko-REk-t9R,0.74,koREkt9R,10,8
7369,correctif,cor-rec-tif,ko-REk-tif,0.41,koREktif,9,8
7370,correction,cor-rec-tion,ko-REk-sj§,6.08,koREksj§,10,8
7372,corrector,cor-rec-tor,ko-REk-tOR,0.14,koREktOR,9,8
7373,corregidor,cor-re-gi-dor,ko-Re-Zi-dOR,0.14,koReZidOR,10,9
7376,corrida,cor-ri-da,ko-Ri-da,4.53,koRida,7,6
7377,corridor,cor-ri-dor,ko-Ri-dOR,12.5,koRidOR,8,7
7378,corriger,cor-ri-ger,ko-Ri-Ze,16.08,koRiZe,8,6
7379,corrigé,cor-ri-gé,ko-Ri-Ze,1.08,koRiZe,7,6
7380,corroborer,cor-ro-bo-rer,ko-Ro-bo-Re,1.15,koRoboRe,10,8
7381,corrodant,cor-ro-dant,ko-Ro-d@,0.14,koRod@,9,6
7382,corroder,cor-ro-der,ko-Ro-de,1.22,koRode,8,6
7383,corroierie,cor-roie-rie,ko-Rwa-Ri,0.07,koRwaRi,10,7
7384,corrompre,cor-rom-pre,ko-R§pR,3.65,koR§pR,9,6
7385,corrompu,cor-rom-pu,ko-R§-py,0.95,koR§py,8,6
7386,corrosif,cor-ro-sif,ko-Ro-zif,1.35,koRozif,8,7
7387,corrosion,cor-ro-sion,ko-Ro-zj§,0.2,koRozj§,9,7
7388,corrupteur,cor-rup-teur,ko-Ryp-t9R,0.41,koRypt9R,10,8
7390,corruption,cor-rup-tion,ko-Ryp-sj§,3.58,koRypsj§,10,8
7392,corsage,cor-sa-ge,kOR-saZ,15.14,kORsaZ,7,6
7393,corsaire,cor-sai-re,kOR-sER,3.58,kORsER,8,6
7394,corse,cor-se,kORs,3.51,kORs,5,4
7395,corselet,cor-se-let,kOR-s°-lE,0.88,kORs°lE,8,7
7396,corser,cor-ser,kOR-se,1.69,kORse,6,5
7397,corset,cor-set,kOR-sE,2.91,kORsE,6,5
7398,corso,cor-so,kOR-so,1.08,kORso,5,5
7399,corsé,cor-sé,kOR-se,1.28,kORse,5,5
7400,cortex,cor-tex,kOR-tEks,0.14,kORtEks,6,7
7401,cortical,cor-ti-cal,kOR-ti-kal,0.07,kORtikal,8,8
7402,cortisone,cor-ti-so-ne,kOR-ti-zOn,0.14,kORtizOn,9,8
7403,corton,cor-ton,kOR-t§,0.27,kORt§,6,5
7404,cortège,cor-tè-ge,kOR-tEZ,20.34,kORtEZ,7,6
7405,cortès,cor-tès,kOR-tEz,0.07,kORtEz,6,6
7406,coruscant,co-rus-cant,ko-Rys-k@,0.27,koRysk@,9,7
7408,corvette,cor-vet-te,kOR-vEt,1.55,kORvEt,8,6
7409,corvéable,cor-véa-ble,kOR-ve-abl,0.14,kORveabl,9,8
7410,corvée,cor-vée,kOR-ve,16.76,kORve,6,5
7411,coryphée,co-ry-phée,ko-Ri-fe,0.07,koRife,8,6
7412,coryste,co-rys-te,ko-Rist,0.07,koRist,7,6
7413,coryza,co-ry-za,ko-Ri-za,0.68,koRiza,6,6
7414,coré,co-ré,ko-Re,0.14,koRe,4,4
7415,coréen,co-réen,ko-Re-5,0.27,koRe5,6,5
7416,cosaque,co-sa-que,ko-zak,2.09,kozak,7,5
7417,cosinus,co-si-nus,ko-si-nys,0.2,kosinys,7,7
7418,cosmique,cos-mi-que,kOs-mik,3.58,kOsmik,8,6
7419,cosmo,cos-mo,kOs-mo,0.07,kOsmo,5,5
7420,cosmogonie,cos-mo-go-nie,kOs-mo-go-ni,0.27,kOsmogoni,10,9
7423,cosmologie,cos-mo-lo-gie,kOs-mo-lo-Zi,0.07,kOsmoloZi,10,9
7424,cosmologue,cos-mo-lo-gue,kOs-mo-lOg,0.07,kOsmolOg,10,8
7425,cosmonaute,cos-mo-nau-te,kOs-mo-not,0.88,kOsmonot,10,8
7427,cosmos,cos-mos,kOs-mos,1.42,kOsmos,6,6
7428,cosmétique,cos-mé-ti-que,kOs-me-tik,0.81,kOsmetik,10,8
7429,cossard,cos-sard,ko-saR,0.47,kosaR,7,5
7430,cosse,cos-se,kOs,0.68,kOs,5,3
7431,cossu,cos-su,ko-sy,4.53,kosy,5,4
7432,cossus,cos-sus,ko-sy,0.07,kosy,6,4
7433,costard,cos-tard,kOs-taR,6.82,kOstaR,7,6
7434,costaud,cos-taud,kOs-to,6.42,kOsto,7,5
7435,costume,cos-tu-me,kOs-tym,55.88,kOstym,7,6
7436,costumer,cos-tu-mer,kOs-ty-me,1.76,kOstyme,8,7
7437,costumier,cos-tu-mier,kOs-ty-mje,0.47,kOstymje,9,8
7438,costumé,cos-tu-mé,kOs-ty-me,1.08,kOstyme,7,7
7439,cosy,co-sy,ko-zi,0.95,kozi,4,4
7440,cotation,co-ta-tion,ko-ta-sj§,0.27,kotasj§,8,7
7441,cote,co-te,kOt,5.47,kOt,4,3
7442,coteau,co-teau,ko-to,7.7,koto,6,4
7443,coter,co-ter,ko-te,1.89,kote,5,4
7444,coterie,co-te-rie,kO-t°-Ri,1.55,kOt°Ri,7,6
7445,cothurne,co-thur-ne,ko-tyRn,0.41,kotyRn,8,6
7446,cotillon,co-til-lon,ko-ti-j§,0.81,kotij§,8,6
7447,cotisant,co-ti-sant,ko-ti-z@,0.14,kotiz@,8,6
7448,cotisation,co-ti-sa-tion,ko-ti-za-sj§,1.15,kotizasj§,10,9
7449,cotiser,co-ti-ser,ko-ti-ze,0.88,kotize,7,6
7450,coton,co-ton,ko-t§,26.22,kot§,5,4
7451,cotonnade,co-ton-na-de,ko-to-nad,3.18,kotonad,9,7
7452,cotonneux,co-ton-neux,ko-to-n2,3.45,koton2,9,6
7453,cotonnier,co-ton-nier,ko-to-nje,0.07,kotonje,9,7
7454,cotre,co-tre,kOtR,1.96,kOtR,5,4
7455,cotriade,co-tria-de,ko-tRi-jad,0.07,kotRijad,8,8
7456,cottage,cot-ta-ge,ko-taZ,0.68,kotaZ,7,5
7457,cotte,cot-te,kOt,4.05,kOt,5,3
7458,coturne,co-tur-ne,ko-tyRn,0.07,kotyRn,7,6
7459,coté,co-té,ko-te,1.28,kote,4,4
7460,cou,cou,ku,115.34,ku,3,2
7461,couac,couac,kwak,1.01,kwak,5,4
7462,couaille,couail-le,kwaj,0.14,kwaj,8,4
7463,couaquer,coua-quer,kwa-ke,0.34,kwake,8,5
7464,couard,couard,kwaR,0.61,kwaR,6,4
7465,couardise,couar-di-se,kwaR-diz,0.54,kwaRdiz,9,7
7466,couchage,cou-cha-ge,ku-SaZ,1.28,kuSaZ,8,5
7468,couchant,cou-chant,ku-S@,7.16,kuS@,8,4
7469,couche,cou-che,kuS,32.91,kuS,6,3
7470,coucher,cou-cher,ku-Se,8.92,kuSe,7,4
7471,coucherie,cou-che-rie,ku-S°-Ri,1.15,kuS°Ri,9,6
7472,couchette,cou-chet-te,ku-SEt,6.28,kuSEt,9,5
7473,coucheur,cou-cheur,ku-S9R,0.47,kuS9R,8,5
7474,couchoir,cou-choir,ku-SwaR,0.07,kuSwaR,8,6
7475,couché,cou-ché,ku-Se,2.91,kuSe,6,4
7476,coucou,cou-cou,ku-ku,5.07,kuku,6,4
7477,coude,cou-de,kud,54.19,kud,5,3
7478,coudoyer,cou-doyer,ku-dwa-je,0.88,kudwaje,8,7
7479,coudre,cou-dre,kudR,20.74,kudR,6,4
7480,coudrier,cou-drier,ku-dRi-je,10.41,kudRije,8,7
7481,coudé,cou-dé,ku-de,0.61,kude,5,4
7482,coudée,cou-dée,ku-de,1.55,kude,6,4
7483,couenne,couen-ne,kwan,1.82,kwan,7,4
7484,couette,couet-te,kwEt,2.03,kwEt,7,4
7485,couffin,couf-fin,ku-f5,1.96,kuf5,7,4
7486,couguar,cou-guar,ku-gaR,1.01,kugaR,7,5
7487,couic,couic,kwik,1.22,kwik,5,4
7488,couillard,couil-lard,ku-jaR,0.07,kujaR,9,5
7489,couille,couil-le,kuj,11.42,kuj,7,3
7490,couillon,couil-lon,ku-j§,2.36,kuj§,8,4
7493,couinant,coui-nant,kwi-n@,0.14,kwin@,8,5
7494,couinement,coui-ne-ment,kwi-n°-m@,1.76,kwin°m@,10,7
7495,couiner,coui-ner,kwi-ne,3.85,kwine,7,5
7496,coulage,cou-la-ge,ku-laZ,0.47,kulaZ,7,5
7497,coulant,cou-lant,ku-l@,2.91,kul@,7,4
7498,coule,cou-le,kul,0.88,kul,5,3
7499,coulemelle,cou-le-mel-le,ku-l°-mEl,0.07,kul°mEl,10,7
7500,couler,cou-ler,ku-le,121.15,kule,6,4
7501,couleur,cou-leur,ku-l9R,198.72,kul9R,7,5
7502,couleuvre,cou-leu-vre,ku-l9vR,2.91,kul9vR,9,6
7504,coulis,cou-lis,ku-li,0.68,kuli,6,4
7505,coulissant,cou-lis-sant,ku-li-s@,1.62,kulis@,10,6
7506,coulisse,cou-lis-se,ku-lis,9.05,kulis,8,5
7507,coulisser,cou-lis-ser,ku-li-se,2.36,kulise,9,6
7508,coulissier,cou-lis-sier,ku-li-sje,0.14,kulisje,10,7
