,word,freq,len,pron,phlen
1878,cafeteria,1.35,9,kafeteRja,9
1879,cafetier,2.97,8,kaf°tje,7
1880,caftan,2.64,6,kaft@,5
1881,cafter,1.22,6,kafte,5
1882,cage,41.82,4,kaZ,3
1883,cageot,7.36,6,kaZo,4
1884,cagibi,5.34,6,kaZibi,6
1885,cagna,2.64,5,kaNa,4
1886,cagneux,1.01,7,kaN2,4
1887,cagnotte,1.01,8,kaNOt,5
1888,cagoule,1.76,7,kagul,5
1889,cahier,31.55,6,kaje,4
1890,cahot,4.39,5,kao,3
1892,cahoter,4.53,7,kaote,5
1893,cahute,1.69,6,kayt,4
1894,caillasse,2.7,9,kajas,5
1895,caille,4.59,6,kaj,3
1896,cailler,2.91,7,kaje,4
1897,caillot,2.84,7,kajo,4
1898,caillou,38.58,7,kaju,4
1899,caillouteux,3.11,11,kajut2,6
1900,caisse,69.39,6,kEs,3
1902,caissier,7.09,8,kesje,5
1903,caisson,3.04,7,kEs&,4
1904,cajoler,3.45,7,kaZole,6
1905,cake,1.96,4,kEk,3
1906,calcaire,2.63,8,kalkER,6
1907,calciner,2.16,8,kalsine,7
1908,calcul,19.86,6,kalkyl,6
1909,calculer,23.31,8,kalkyle,7
1910,cale,6.15,4,kal,3
1911,calebasse,1.69,9,kal°bas,7
1912,calembour,2.23,9,kal@buR,7
1913,calendrier,14.53,10,kal@dRije,9
1914,calepin,3.72,7,kal°p5,6
1915,caler,17.77,5,kale,4
1916,calfeutrer,3.51,10,kalf2tRe,8
1917,calibre,6.15,7,kalibR,6
1918,calice,2.97,6,kalis,5
1919,calicot,2.09,7,kaliko,6
1920,calife,2.03,6,kalif,5
1921,californien,1.15,11,kalifORnj5,10
1922,califourchon,4.19,12,kalifuRS&,9
1924,calleux,1.69,7,kal2,4
1925,calligraphie,1.35,12,kaligRafi,9
1927,calmant,2.63,7,kalm@,5
1928,calme,126.89,5,kalm,4
1929,calmement,12.43,9,kalm°m@,7
1930,calmer,45.07,6,kalme,5
1931,calomnie,3.92,8,kalOmni,7
1932,calomnier,1.55,9,kalOmnje,8
1933,calot,5.81,5,kalo,4
1934,calotte,4.73,7,kalOt,5
1935,calquer,1.35,7,kalke,5
1936,calter,1.62,6,kalte,5
1937,calva,2.36,5,kalva,5
1938,calvados,1.35,8,kalvados,8
1939,calvaire,8.24,8,kalvER,6
1940,calvitie,2.84,8,kalvisi,7
1941,camarade,98.99,8,kamaRad,7
1942,camaraderie,3.58,11,kamaRad°Ri,10
1943,cambouis,4.59,8,k@bwi,5
1944,cambrer,3.51,7,k@bRe,5
1945,cambriolage,2.77,11,k@bRijolaZ,10
1946,cambrioler,1.15,10,k@bRijole,9
1947,cambrioleur,2.36,11,k@bRijol9R,10
1948,cambrousse,1.96,10,k@bRus,6
1949,cambrure,1.01,8,k@bRyR,6
1950,cambuse,2.5,7,k@byz,5
1951,came,4.73,4,kam,3
1952,camelot,2.5,7,kam°lo,6
1953,camelote,4.8,8,kam°lOt,7
1954,camembert,3.85,9,kam@bER,7
1955,camer,1.08,5,kame,4
1956,camion,50.74,6,kamj&,5
1957,camionnette,17.97,11,kamjonEt,8
1958,camionneur,2.36,10,kamjon9R,8
1959,camisole,1.69,8,kamizOl,7
1960,camouflage,2.16,10,kamuflaZ,8
1961,camoufler,8.65,9,kamufle,7
1962,camp,97.23,4,k@,2
1963,campagnard,6.42,10,k@paNaR,7
1964,campagne,107.23,8,k@paN,5
1965,campanile,2.09,9,k@panil,7
1966,campement,6.49,9,k@p°m@,6
1967,camper,13.85,6,k@pe,4
1968,campeur,4.26,7,k@p9R,5
1969,camping,3.24,7,k@piG,5
1970,campo,1.49,5,k@po,4
1971,campus,1.62,6,k@pys,5
1972,canadien,4.26,8,kanadj5,7
1973,canadienne,6.42,10,kanadjEn,8
1974,canaille,5.75,8,kanaj,5
1975,canal,27.43,5,kanal,5
1976,canalisation,1.28,12,kanalizasj&,11
1977,canaliser,1.96,9,kanalize,8
1978,canard,29.46,6,kanaR,5
1979,canarder,1.35,8,kanaRde,7
1980,canari,2.77,6,kanaRi,6
1981,canasson,1.49,8,kanas&,6
1982,cancan,1.76,6,k@k@,4
1983,cancer,9.46,6,k@sER,5
1984,cancre,3.78,6,k@kR,4
1985,candeur,4.59,7,k@d9R,5
1986,candidat,8.04,8,k@dida,6
1987,candidature,1.76,11,k@didatyR,9
1988,candide,4.73,7,k@did,5
1989,caner,1.15,5,kane,4
1990,caneton,1.82,7,kan°t&,6
1991,canette,6.62,7,kanEt,5
1992,canevas,1.35,7,kan°va,6
1993,caniche,3.99,7,kaniS,5
1994,canicule,3.58,8,kanikyl,7
1995,canif,4.93,5,kanif,5
1996,canine,2.23,6,kanin,5
1997,caniveau,7.16,8,kanivo,6
1998,canne,34.32,5,kan,3
1999,cannelle,2.97,8,kanEl,5
2000,canner,2.57,6,kane,4
2001,canon,54.19,5,kan&,4
2002,canoniser,1.01,9,kanonize,8
2003,canonnade,2.7,9,kanonad,7
2004,canot,9.19,5,kano,4
2006,cantatrice,2.43,10,k@tatRis,8
2007,cantine,12.16,7,k@tin,5
2008,cantinier,1.15,9,k@tinje,7
2009,cantique,6.62,8,k@tik,5
2010,canton,4.73,6,k@t&,4
2011,cantonade,3.45,9,k@tonad,7
2012,cantonnement,5.2,12,k@tOn°m@,8
2013,cantonner,5.0,9,k@tone,6
2014,cantonnier,3.04,10,k@tonje,7
2015,caoua,2.43,5,kawa,4
2016,caoutchouc,16.55,10,kautSu,6
2017,cap,16.55,3,kap,3
2018,capable,86.35,7,kapabl,6
2019,cape,11.69,4,kap,3
2020,capeline,2.5,8,kap°lin,7
2021,capitaine,92.57,9,kapitEn,7
2022,capital,23.37,7,kapital,7
2023,capitale,26.62,8,kapital,7
2024,capitalisme,3.65,11,kapitalizm,10
2025,capitaliste,3.38,11,kapitalist,10
2026,capiteux,2.3,8,kapit2,6
2028,capitulation,7.77,12,kapitylasj&,11
2029,capituler,4.8,9,kapityle,8
2030,caporal,18.99,7,kapoRal,7
2031,capot,8.18,5,kapo,4
2032,capote,18.04,6,kapOt,5
2033,capoter,1.15,7,kapote,6
2034,caprice,18.31,7,kapRis,6
2035,capricieux,6.76,10,kapRisj2,8
2036,capsule,3.18,7,kapsyl,6
2037,capter,9.59,6,kapte,5
2038,captif,8.25,6,kaptif,6
2039,captivant,1.55,9,kaptiv@,7
2040,captiver,4.12,8,kaptive,7
2041,capture,1.76,7,kaptyR,6
2042,capturer,5.81,8,kaptyRe,7
2043,capuchon,6.42,8,kapyS&,6
2044,capucin,1.15,7,kapys5,6
2046,caquetage,1.22,9,kak°taZ,7
2047,caqueter,1.55,8,kak°te,6
2048,car,489.18,3,kaR,3
2049,carabine,11.15,8,kaRabin,7
2050,carabinier,1.69,10,kaRabinje,9
2051,carabosse,1.62,9,kaRabOs,7
2052,caraco,1.01,6,kaRako,6
2053,caracoler,1.76,9,kaRakole,8
2054,carafe,5.47,6,kaRaf,5
2055,caramel,3.38,7,kaRamEl,7
2056,carapace,8.38,8,kaRapas,7
2057,carapater,1.01,9,kaRapate,8
2058,carat,2.23,5,kaRa,4
2059,caravane,6.76,8,kaRavan,7
2060,caravanier,1.22,10,kaRavanje,9
2061,carbone,1.82,7,kaRbOn,6
2062,carboniser,2.5,10,kaRbonize,9
2063,carburant,1.69,9,kaRbyR@,7
2064,carburateur,1.22,11,kaRbyRat9R,10
2065,carbure,1.55,7,kaRbyR,6
2066,carburer,1.22,8,kaRbyRe,7
2067,carcan,4.19,6,kaRk@,5
2068,carcasse,13.85,8,kaRkas,6
2069,carder,1.35,6,kaRde,5
2070,cardeur,1.01,7,kaRd9R,6
2071,cardiaque,3.72,9,kaRdjak,7
2072,cardinal,10.74,8,kaRdinal,8
2073,cardon,1.15,6,kaRd&,5
2074,carence,1.76,7,kaR@s,5
2075,caressant,4.26,9,kaREs@,6
2076,caresse,33.04,7,kaREs,5
2077,caresser,83.72,8,kaRese,6
2078,cargaison,4.26,9,kaRgEz&,7
2079,cargo,7.09,5,kaRgo,5
2080,caricatural,2.09,11,kaRikatyRal,11
2081,caricature,6.49,10,kaRikatyR,9
2082,carie,1.15,5,kaRi,4
2083,carillon,5.88,8,kaRij&,6
2084,carillonner,1.35,11,kaRijone,8
2085,carlingue,2.77,9,kaRl5g,6
2087,carnage,3.38,7,kaRnaZ,6
2088,carnassier,3.91,10,kaRnasje,8
2089,carnation,1.08,9,kaRnasj&,8
2090,carnaval,5.81,8,kaRnaval,8
2091,carne,2.77,5,kaRn,4
2092,carnet,31.82,6,kaRnE,5
2093,carnivore,1.01,9,kaRnivOR,8
2094,carotide,1.28,8,kaRotid,7
2095,carotte,8.31,7,kaROt,5
2096,carpe,3.85,5,kaRp,4
2097,carpette,2.36,8,kaRpEt,6
2098,carreau,41.69,7,kaRo,4
2099,carrefour,35.95,9,kaR°fuR,7
2100,carrelage,13.18,9,kaR°laZ,7
2101,carreler,3.24,8,kaR°le,6
2102,carrelet,1.82,8,kaR°lE,6
2103,carrer,6.55,6,kaRe,4
2104,carriole,10.47,8,kaRjOl,6
2105,carrosse,4.05,8,kaROs,5
2106,carrosserie,6.55,11,kaROs°Ri,8
2107,carrousel,2.5,9,kaRusEl,7
2108,carrure,4.53,7,kaRyR,5
2109,cartable,11.28,8,kaRtabl,7
2110,carte,111.42,5,kaRt,4
2111,cartilage,1.42,9,kaRtilaZ,8
2113,carton,44.86,6,kaRt&,5
2114,cartonner,2.16,9,kaRtone,7
2115,cartouche,9.53,9,kaRtuS,6
2116,cas,217.36,3,ka,2
2117,casa,2.57,4,kaza,4
2118,casaque,2.84,7,kazak,5
2119,casbah,4.32,6,kasba,5
2120,cascade,11.55,7,kaskad,6
2121,cascader,1.62,8,kaskade,7
2122,case,14.53,4,kaz,3
2124,caser,7.7,5,kaze,4
2125,caserne,16.49,7,kazERn,6
2126,casier,8.11,6,kazje,5
2127,casino,10.81,6,kazino,6
2128,casque,29.19,6,kask,4
2129,casquer,6.69,7,kaske,5
2130,casquette,38.58,9,kaskEt,6
2131,cassant,2.77,7,kas@,4
2132,casse,5.81,5,kas,3
2133,casser,92.7,6,kase,4
2134,casserole,22.84,9,kas°ROl,7
2135,cassette,6.42,8,kasEt,5
2136,casseur,3.24,7,kas9R,5
2138,cassis,3.18,6,kasi,4
2139,cassoulet,1.62,9,kasulE,6
2140,cassure,3.78,7,kasyR,5
2142,caste,4.19,5,kast,4
2143,castel,1.08,6,kastEl,6
2144,castor,1.76,6,kastOR,6
2145,castration,1.28,10,kastRasj&,9
2146,cataclysme,5.27,10,kataklizm,9
2148,catafalque,1.69,10,katafalk,8
2149,catalogue,7.16,9,katalOg,7
2150,cataloguer,2.5,10,kataloge,8
2151,cataplasme,1.49,10,kataplasm,9
2152,catapulter,1.62,10,katapylte,9
2153,cataracte,3.51,9,kataRakt,8
2154,catastrophe,30.14,11,katastROf,9
2155,catastrophique,3.72,14,katastRofik,11
2156,catholicisme,2.43,12,katolisizm,10
2157,catholique,41.02,10,katolik,7
2158,catin,1.49,5,kat5,4
2159,cauchemar,26.62,9,koS°maR,7
2160,causant,1.96,7,koz@,4
2161,cause,197.3,5,koz,3
2162,causer,69.93,6,koze,4
2163,causerie,2.09,8,koz°Ri,6
2164,causette,1.76,8,kozEt,5
2165,caustique,1.15,9,kostik,6
2167,caution,2.23,7,kosj&,5
2168,cavalcade,3.72,9,kavalkad,8
2169,cavale,4.32,6,kaval,5
2170,cavaler,8.99,7,kavale,6
2171,cavalerie,12.7,9,kaval°Ri,8
2172,cavalier,40.27,8,kavalje,7
2173,cave,61.42,4,kav,3
2174,caveau,5.68,6,kavo,4
2175,caverne,10.54,7,kavERn,6
2176,caverneux,3.04,9,kavERn2,7
2177,caviar,4.26,6,kavjaR,6
2178,ce,5395.13,2,s2,2
2179,ceci,53.78,4,s°si,4
2180,ceindre,4.32,7,s5dR,4
2181,ceint,1.42,5,s5,2
2182,ceinture,35.2,8,s5tyR,5
2183,ceinturer,6.08,9,s5tyRe,6
2184,ceinturon,7.23,9,s5tyR&,6
2185,cela,741.82,4,s°la,4
2186,celle,299.46,5,sEl,3
2187,celles,107.97,6,sEl,3
2188,cellier,3.65,7,selje,5
2189,cellophane,2.43,10,selofan,7
2190,cellulaire,2.03,10,selylER,7
2191,cellule,46.28,7,selyl,5
2192,cellulite,1.15,9,selylit,7
2193,celte,1.22,5,sElt,4
2194,celtique,1.08,8,sEltik,6
2195,celui,319.19,5,s°l8i,5
2196,cendre,28.85,6,s@dR,4
2197,cendrier,14.73,8,s@dRije,7
2198,censeur,1.96,7,s@s9R,5
2199,censure,3.51,7,s@syR,5
2200,censurer,1.89,8,s@syRe,6
2201,cent,157.1,4,s@,2
2202,centaine,41.82,8,s@tEn,5
2203,centenaire,4.05,10,s@t°nER,7
2204,centime,5.68,7,s@tim,5
2205,central,39.05,7,s@tRal,6
2206,centrale,6.01,8,s@tRal,6
2207,centre,84.46,6,s@tR,4
2208,centrer,1.82,7,s@tRe,5
2209,centrifuge,2.36,10,s@tRifyZ,8
2210,cents,80.54,5,s@,2
2211,centuple,1.08,8,s@typl,6
2212,centurie,1.15,8,s@tyRi,6
2213,cep,1.49,3,sEp,3
2214,cependant,153.24,9,s°p@d@,6
2215,cerceau,2.77,7,sERso,5
2216,cercle,54.26,6,sERkl,5
2218,cercueil,22.16,8,sERk9j,6
2219,cerf,25.54,4,sER,3
2220,cerise,11.29,6,s°Riz,5
2221,cerisier,3.51,8,s°Rizje,7
2222,cerne,5.2,5,sERn,4
2223,cerner,21.01,6,sERne,5
2224,certain,365.28,7,sERt5,5
2225,certaine,6.21,8,sERtEn,6
2226,certainement,59.93,12,sERtEn°m@,9
2227,certaines,56.35,9,sERtEn,6
2228,certains,133.92,8,sERt5,5
2229,certes,69.66,6,sERt,4
2230,certif,1.08,6,sERtif,6
2231,certificat,9.93,10,sERtifika,9
2232,certifier,2.91,9,sERtifje,8
2233,certitude,41.89,9,sERtityd,8
2234,cerveau,30.88,7,sERvo,5
2235,cervelle,15.81,8,sERvEl,6
2236,cervical,1.01,8,sERvikal,8
2237,ces,1547.5,3,se,2
2238,cessant,1.55,7,sEs@,4
2239,cesse,71.96,5,sEs,3
2240,cesser,177.77,6,sese,4
2241,cet,497.5,3,sEt,3
2242,cette,2320.68,5,sEt,3
2243,ceux,309.86,4,s2,2
2244,chacal,2.57,6,Sakal,5
2245,chacun,187.84,6,Sak1,4
2246,chacune,35.95,7,Sakyn,5
2247,chafouin,1.15,8,Safw5,5
2248,chagrin,48.51,7,SagR5,5
2249,chagriner,2.97,9,SagRine,7
2250,chahut,2.7,6,Say,3
2251,chahuter,3.85,8,Sayte,5
2252,chai,1.62,4,SE,2
2253,chair,106.49,5,SER,3
2254,chaire,5.74,6,SER,3
2255,chaise,118.31,6,SEz,3
2256,chaland,3.11,7,Sal@,4
2257,chalet,8.11,6,SalE,4
2258,chaleur,116.22,7,Sal9R,5
2259,chaleureusement,1.89,15,Sal2R2z°m@,10
2260,chaleureux,11.55,10,Sal2R2,6
2261,chalon,2.64,6,Sal&,4
2262,chaloupe,2.5,8,Salup,5
2264,chalumeau,2.7,9,Salymo,6
2265,chalutier,3.18,9,Salytje,7
2266,chamade,1.35,7,Samad,5
2267,chamailler,3.45,10,Samaje,6
2268,chambouler,2.23,10,S@bule,6
2269,chambranle,4.26,10,S@bR@l,6
2270,chambre,413.31,7,S@bR,4
2271,chambrer,3.31,8,S@bRe,5
2272,chambrette,2.5,10,S@bREt,6
2273,chameau,10.54,7,Samo,4
2274,chamois,2.57,7,Samwa,5
2275,champ,106.49,5,S@,2
2276,champagne,31.62,9,S@paN,5
2278,champignon,12.97,10,S@piN&,6
2279,champion,15.07,8,S@pj&,5
2280,championnat,2.97,11,S@pjona,7
2281,chance,136.35,6,S@s,3
2282,chancelant,2.23,10,S@s°l@,6
2283,chanceler,7.5,9,S@s°le,6
2284,chancelier,2.03,10,S@s2lje,7
2285,chancellerie,2.7,12,S@sEl°Ri,8
2286,chanceux,1.08,8,S@s2,4
2287,chancre,1.08,7,S@kR,4
2288,chandail,14.19,8,S@daj,5
2289,chandelier,4.12,10,S@d°lje,7
2290,chandelle,12.57,9,S@dEl,5
2291,change,9.8,6,S@Z,3
2292,changeant,5.47,9,S@Z@,4
2293,changement,36.42,10,S@Z°m@,6
2294,changer,246.49,7,S@Ze,4
2295,chanoine,11.96,8,Sanwan,6
2296,chanson,46.55,7,S@s&,4
2297,chansonnette,2.43,12,S@sonEt,7
2298,chansonnier,1.62,11,S@sonje,7
2300,chant,42.03,5,S@,2
2301,chantage,7.64,8,S@taZ,5
2302,chantant,7.36,8,S@t@,4
2303,chanter,125.81,7,S@te,4
2304,chanteur,20.07,8,S@t9R,5
2305,chantier,22.5,8,S@tje,5
2306,chantonner,14.86,10,S@tone,6
2307,chantre,1.82,7,S@tR,4
2308,chanvre,2.91,7,S@vR,4
2309,chaos,10.2,5,kao,3
2310,chaotique,2.57,9,kaotik,6
2311,chaparder,1.28,9,SapaRde,7
2312,chape,2.23,5,Sap,3
2313,chapeau,88.04,7,Sapo,4
2314,chapeauter,1.08,10,Sapote,6
2315,chapelet,12.91,8,Sap°lE,6
2316,chapelle,35.88,8,SapEl,5
2317,chaperon,1.35,8,Sap°R&,6
2318,chapiteau,3.45,9,Sapito,6
2319,chapitre,38.65,8,SapitR,6
2320,chapitrer,1.35,9,SapitRe,7
2321,chapka,1.15,6,Sapka,5
2322,chaque,486.35,6,Sak,3
2323,char,27.57,4,SaR,3
2324,charabia,1.55,8,SaRabja,7
2325,charbon,24.59,7,SaRb&,5
2328,charbonnier,3.51,11,SaRbonje,8
2329,charcuter,1.15,9,SaRkyte,7
2330,charcuterie,5.2,11,SaRkyt°Ri,9
2331,charcutier,4.73,10,SaRkytje,8
2332,chardon,3.38,7,SaRd&,5
2333,charge,41.28,6,SaRZ,4
2334,chargement,6.42,10,SaRZ°m@,7
2335,charger,122.16,7,SaRZe,5
2336,chargeur,3.72,8,SaRZ9R,6
2337,chariot,14.12,7,SaRjo,5
2338,charitable,3.78,10,SaRitabl,8
2339,charivari,1.08,9,SaRivaRi,8
2340,charlatan,1.08,9,SaRlat@,7
2341,charmant,41.15,8,SaRm@,5
2342,charme,53.45,6,SaRm,4
2343,charmer,6.96,7,SaRme,5
2344,charmeur,3.11,8,SaRm9R,6
2345,charmille,1.55,9,SaRmij,6
2346,charnel,11.01,7,SaRnEl,6
2347,charnier,3.72,8,SaRnje,6
2348,charnu,6.15,6,SaRny,5
2349,charognard,2.03,10,SaRoNaR,7
2350,charogne,7.16,8,SaRON,5
2351,charpente,5.27,9,SaRp@t,6
2352,charpentier,3.11,11,SaRp@tje,8
2353,charpie,2.5,7,SaRpi,5
2354,charre,2.03,6,SaR,3
2355,charretier,1.89,10,SaR°tje,7
2356,charrette,20.95,9,SaREt,5
2357,charrier,12.36,8,SaRje,5
2359,charrue,4.32,7,SaRy,4
2360,charte,2.3,6,SaRt,4
2361,chartreux,1.15,9,SaRtR2,6
2362,chasse,59.46,6,Sas,3
2363,chasser,67.91,7,Sase,4
2364,chasseur,41.55,8,Sas9R,5
2365,chassieux,1.35,9,Sasj2,5
2366,chaste,5.14,6,Sast,4
2367,chasuble,1.76,8,Sazybl,6
2368,chat,130.74,4,Sa,2
2369,chatoiement,1.35,11,Satwam@,7
2370,chaton,4.66,6,Sat&,4
2371,chatouiller,7.36,11,Satuje,6
2372,chatoyant,2.03,9,Satwaj@,7
2373,chaud,155.07,5,So,2
2374,chaudement,2.64,10,Sod°m@,6
2375,chaudron,5.81,8,SodR&,5
2376,chauffage,6.08,9,SofaZ,5
2377,chauffe,1.35,7,Sof,3
2378,chauffer,29.8,8,Sofe,4
2379,chauffeur,49.86,9,Sof9R,5
2381,chaume,7.09,6,Som,3
2382,chausser,15.61,8,Sose,4
2383,chaussette,22.84,10,SosEt,5
2384,chausson,5.95,8,Sos&,4
2385,chaussure,56.49,9,SosyR,5
2386,chauve,16.28,6,Sov,3
2387,chauvin,4.53,7,Sov5,4
2388,chaux,7.36,5,So,2
2389,chavirer,8.65,8,SaviRe,6
2390,chef,205.95,4,SEf,3
2391,chemin,231.42,6,S°m5,4
2392,chemineau,1.62,9,S°mino,6
2393,cheminement,6.08,11,S°min°m@,8
2394,cheminer,8.99,8,S°mine,6
2395,cheminot,2.5,8,S°mino,6
2396,chemise,91.42,7,S°miz,5
2397,chemisette,4.12,10,S°mizEt,7
2398,chemisier,7.97,9,S°mizje,7
2399,chenal,4.73,6,S°nal,5
2400,chenil,3.24,6,S°nil,5
2401,chenille,5.68,8,S°nij,5
2402,chenu,1.22,5,S°ny,4
2403,cheptel,1.35,7,SEptEl,6
2404,cher,153.92,4,SER,3
2405,chercher,448.99,8,SERSe,5
2406,chercheur,3.78,9,SERS9R,6
2407,cheval,179.26,6,S°val,5
2408,chevaleresque,1.22,13,S°val°REsk,10
2409,chevalerie,2.23,10,S°val°Ri,8
2410,chevalet,6.22,8,S°valE,6
2411,chevalier,36.15,9,S°valje,7
2412,chevalin,1.82,8,S°val5,6
2413,chevaucher,12.77,10,S°voSe,6
2414,chevelu,4.66,7,S°v°ly,6
2415,chevelure,27.5,9,S°v°lyR,7
2416,chevesne,1.35,8,S°vEn,5
2417,chevet,18.92,6,S°vE,4
2418,cheveu,270.68,6,S°v2,4
2419,cheville,22.16,8,S°vij,5
2420,chevreau,3.38,8,S°vRo,5
2421,chevreuil,5.14,9,S°vR9j,6
2422,chevron,2.5,7,S°vR&,5
2423,chevroter,1.28,9,S°vRote,7
2424,chevrotine,1.42,10,S°vRotin,8
2425,chez,680.54,4,Se,2
2426,chialer,13.78,7,Sjale,5
2427,chiant,2.84,6,Sj@,3
2428,chiasse,1.49,7,Sjas,4
2429,chic,19.05,4,Sik,3
2430,chicane,2.16,7,Sikan,5
2431,chiche,3.18,6,SiS,3
2432,chichement,1.42,10,SiS°m@,6
2433,chichi,5.0,6,SiSi,4
2434,chicot,3.58,6,Siko,4
2435,chien,184.59,5,Sj5,3
2436,chiendent,2.16,9,Sj5d@,5
2437,chier,22.64,5,Sje,3
2438,chiffe,1.62,6,Sif,3
2439,chiffon,18.99,7,Sif&,4
2440,chiffonner,2.3,10,Sifone,6
2441,chiffonnier,3.58,11,Sifonje,7
2442,chiffre,33.11,7,SifR,4
2443,chiffrer,1.01,8,SifRe,5
2444,chignon,12.77,7,SiN&,4
2445,chilien,1.28,7,Silj5,5
2446,chimie,5.2,6,Simi,4
2447,chimique,4.59,8,Simik,5
2448,chimiste,1.55,8,Simist,6
2449,chiner,8.45,6,Sine,4
2450,chinetoque,1.01,10,Sin°tOk,7
2451,chinois,41.36,7,Sinwa,5
2452,chiot,2.7,5,Sjo,3
2453,chiotte,14.73,7,SjOt,4
2454,chiper,2.97,6,Sipe,4
2455,chipoter,1.22,8,Sipote,6
2456,chique,2.23,6,Sik,3
2457,chiquenaude,1.22,11,Sik°nod,7
2458,chiquer,2.7,7,Sike,4
2459,chirurgical,2.16,11,SiRyRZikal,10
2460,chirurgie,2.03,9,SiRyRZi,7
2461,chirurgien,8.45,10,SiRyRZj5,8
2462,chiure,1.08,6,SjyR,4
2463,choc,45.88,4,SOk,3
2464,chocolat,36.95,8,Sokola,6
2465,choeur,26.69,6,k9R,3
2466,choir,10.0,5,SwaR,4
2467,choisi,10.95,6,Swazi,5
2468,choisir,133.92,7,SwaziR,6
2469,choix,51.42,5,Swa,3
2470,chope,2.57,5,SOp,3
2471,choper,4.05,6,Sope,4
2472,chopine,2.7,7,Sopin,5
2473,choquant,1.69,8,Sok@,4
2474,choquer,15.41,7,Soke,4
2475,chorale,1.96,7,koRal,5
2476,choriste,1.35,8,koRist,6
2477,chorus,1.49,6,koRys,5
2478,chose,1057.64,5,Soz,3
2479,chou,21.96,4,Su,2
2480,chouan,1.28,6,Sw@,3
2482,chouchou,1.69,8,SuSu,4
2483,choucroute,3.04,10,SukRut,6
2484,chouette,19.79,8,SwEt,4
2485,chouia,1.01,6,Suja,4
2486,chouraver,2.5,9,SuRave,6
2487,chourer,1.42,7,SuRe,4
2488,choyer,2.09,6,Swaje,5
2489,christ,3.18,6,kRist,5
2490,christianisme,4.32,13,kRistjanizm,11
2491,chrome,3.04,6,kRom,4
2492,chromo,2.16,6,kRomo,5
2493,chronique,14.18,9,kRonik,6
2494,chroniqueur,2.91,11,kRonik9R,8
2495,chrono,1.89,6,kRono,5
2496,chronologie,3.24,11,kRonoloZi,9
2497,chronologique,1.49,13,kRonoloZik,10
2498,chuchotant,1.89,10,SySot@,6
2499,chuchotement,8.11,12,SySOt°m@,8
2500,chuchoter,34.39,9,SySote,6
2501,chuchotis,2.43,9,SySoti,6
2502,chuintement,4.46,11,S85t°m@,7
2504,chut,6.62,4,Sy,2
2505,chute,41.28,5,Syt,3
2506,chuter,2.77,6,Syte,4
2507,ci,3.65,2,si,2
2508,ciao,3.72,4,tSao,4
2509,cible,10.74,5,sibl,4
2510,ciboire,1.15,7,sibwaR,6
2511,ciboulot,1.55,8,sibulo,6
2512,cicatrice,12.23,9,sikatRis,8
2513,cicatriser,2.16,10,sikatRize,9
2514,cidre,3.99,5,sidR,4
2515,ciel,305.2,4,sjEl,4
2516,cierge,15.95,6,sjERZ,5
2517,cieux,4.93,5,sj2,3
2518,cigale,4.93,6,sigal,5
2519,cigare,24.93,6,sigaR,5
2520,cigarette,114.93,9,sigaREt,7
2521,cigarillo,1.08,9,sigaRijo,8
2522,cigogne,2.5,7,sigON,5
2523,cil,19.26,3,sil,3
2524,ciller,4.32,6,sije,4
2525,cime,9.73,4,sim,3
2526,ciment,18.85,6,sim@,4
2527,cimenter,2.43,8,sim@te,6
2528,cimeterre,1.28,9,sim°tER,7
2529,cinglant,2.77,8,s5gl@,5
2531,cinoche,6.35,7,sinOS,5
2532,cinq,220.61,4,s5k,3
2533,cinquantaine,9.93,12,s5k@tEn,7
2534,cinquante,68.78,9,s5k@t,5
2535,cintre,4.86,6,s5tR,4
2536,cintrer,1.49,7,s5tRe,5
2537,cirage,4.39,6,siRaZ,5
2538,circoncire,1.42,10,siRk&siR,8
2539,circoncision,2.3,12,siRk&sizj&,10
2540,circonflexe,1.55,11,siRk&flEks,10
2541,circonscrire,1.35,12,siRk&skRiR,10
2542,circonspect,2.91,11,siRk&spE,8
2543,circonspection,2.7,14,siRk&spEksj&,12
2544,circonstance,58.24,12,siRk&st@s,9
2545,circonvolution,1.08,14,siRk&volysj&,12
2546,circuit,9.59,7,siRk8i,6
2547,circulaire,10.95,10,siRkylER,8
2548,circulation,14.46,11,siRkylasj&,10
2549,circuler,25.81,8,siRkyle,7
2550,cire,15.88,4,siR,3
2551,cirer,20.27,5,siRe,4
2552,cireur,1.22,6,siR9R,5
2553,cireux,2.5,6,siR2,4
2554,cirque,19.53,6,siRk,4
2555,cisailler,2.57,9,sizaje,6
2556,ciseau,13.85,6,sizo,4
2557,ciseler,2.03,7,siz°le,6
2558,citadelle,6.42,9,sitadEl,7
2559,citadin,5.75,7,sitad5,6
2560,citation,8.11,8,sitasj&,7
2561,citer,27.09,5,site,4
2562,citerne,2.09,7,sitERn,6
2563,citoyen,14.73,7,sitwaj5,7
2564,citron,13.38,6,sitR&,5
2565,citronnade,1.01,10,sitRonad,8
2566,citronnier,1.49,10,sitRonje,8
2567,citrouille,2.91,10,sitRuj,6
2568,civet,2.43,5,sivE,4
2569,civil,42.5,5,sivil,5
2570,civilisation,19.32,12,sivilizasj&,11
2571,civiliser,1.08,9,sivilize,8
2572,civique,1.82,7,sivik,5
2573,clac,3.72,4,klak,4
2574,claie,2.43,5,klE,3
2575,clair,170.81,5,klER,4
2576,claire,1.69,6,klER,4
2577,clairement,18.18,10,klER°m@,7
