"word","pron","lemme","freq","islem","len","phlen","voisorth","voisphon","syll","nbsyll","Moy_Consistance_GP","Min_Consistance_GP","Nb_Irregular_GP","Pos_Irregular_GP","Moy_Consistance_PG","Min_Consistance_PG","Nb_Irregular_PG","Pos_Irregular_PG","Decom_GP"
"!coloris!","!koloRi!","coloris",1.62,1,9,8,3,6,"ko-lo-Ri",3,"0,86","0,7","0","0","0,81","0,18","1","7","c-k.o-o.l-l.o-o.r-R.i-i.s-#"
"!coloré!","!koloRe!","coloré",9.53,1,8,8,3,5,"ko-lo-Re",3,"0,88","0,7","0","0","0,83","0,42","0","0","c-k.o-o.l-l.o-o.r-R.é-e"
"!colossal!","!kolosal!","colossal",9.05,1,10,9,0,0,"ko-lo-sal",3,"0,9","0,7","0","0","0,83","0,27","1","5","c-k.o-o.l-l.o-o.ss-s.a-a.l-l"
"!colosse!","!kolOs!","colosse",6.82,1,9,7,1,4,"ko-lOs",2,"0,82","0,3","1","4","0,73","0,27","1","5","c-k.o-o.l-l.o-O.ss-s.e-#"
"!colporter!","!kOlpORte!","colporter",2.16,1,11,10,2,4,"kOl-pOR-te",3,"0,8","0,3","2","2","0,86","0,32","1","8","c-k.o-O.l-l.p-p.o-O.r-R.t-t.er-e"
"!colporteur!","!kOlpORt9R!","colporteur",1.42,1,12,11,0,0,"kOl-pOR-t9R",3,"0,78","0,3","2","2","0,94","0,87","0","0","c-k.o-O.l-l.p-p.o-O.r-R.t-t.eu-9.r-R"
"!colt!","!kOlt!","colt",1.82,1,6,6,7,6,"kOlt",1,"0,6","0,18","2","2","0,93","0,91","0","0","c-k.o-O.l-l.t-t"
"!coltiner!","!kOltine!","coltiner",3.04,1,10,9,2,3,"kOl-ti-ne",3,"0,84","0,3","1","2","0,82","0,32","1","7","c-k.o-O.l-l.t-t.i-i.n-n.er-e"
"!colère!","!kolER!","colère",100.07,1,8,7,2,21,"ko-lER",2,"0,93","0,7","0","0","0,71","0,16","1","4","c-k.o-o.l-l.è-E.r-R.e-#"
"!coléoptère!","!koleOptER!","coléoptère",1.49,1,12,11,0,0,"ko-le-Op-tER",4,"0,88","0,3","1","5","0,79","0,16","1","8","c-k.o-o.l-l.é-e.o-O.p-p.t-t.è-E.r-R.e-#"
"!coléreux!","!koleR2!","coléreux",2.64,1,10,8,0,1,"ko-le-R2",3,"0,85","0,43","1","6","0,79","0,02","1","7","c-k.o-o.l-l.é-e.r-R.eu-2.x-#"
"!coma!","!koma!","coma",4.93,1,6,6,8,20,"ko-ma",2,"0,9","0,7","0","0","0,87","0,75","0","0","c-k.o-o.m-m.a-a"
"!comac!","!komak!","comac",1.22,1,7,7,2,4,"ko-mak",2,"0,89","0,7","0","0","0,85","0,54","0","0","c-k.o-o.m-m.a-a.c-k"
"!comateux!","!komat2!","comateux",1.08,1,10,8,0,0,"ko-ma-t2",3,"0,84","0,43","1","6","0,79","0,02","1","7","c-k.o-o.m-m.a-a.t-t.eu-2.x-#"
"!combat!","!k&ba!","combat",72.57,1,8,6,1,10,"k§-ba",2,"0,94","0,82","0","0","0,62","0,01","2","2","c-k.om-§.b-b.a-a.t-#"
"!combatif!","!k&batif!","combatif",1.42,1,10,9,0,2,"k§-ba-tif",3,"0,93","0,75","0","0","0,84","0,19","1","2","c-k.om-§.b-b.a-a.t-t.i-i.f-f"
"!combattant!","!k&bat@!","combattant",16.01,1,12,8,2,6,"k§-ba-t@",3,"0,98","0,91","0","0","0,63","0,07","2","2","c-k.om-§.b-b.a-a.tt-t.ant-@"
"!combattant!","!k&bat@!","combattant",18.31,1,12,8,2,6,"k§-ba-t@",3,"0,98","0,91","0","0","0,63","0,07","2","2","c-k.om-§.b-b.a-a.tt-t.ant-@"
"!combattre!","!k&batR!","combattre",36.35,1,11,8,2,6,"k§-batR",2,"0,98","0,91","0","0","0,65","0,07","2","2","c-k.om-§.b-b.a-a.tt-t.r-R.e-#"
"!combe!","!k&b!","combe",4.59,1,7,5,6,9,"k§b",1,"0,97","0,91","0","0","0,63","0,19","1","2","c-k.om-§.b-b.e-#"
"!combien!","!k&bj5!","combien",108.04,1,9,7,0,2,"k§-bj5",2,"0,82","0,24","1","4","0,68","0,19","1","2","c-k.om-§.b-b.i-j.en-5"
"!combinaison!","!k&binEz&!","combinaison",17.43,1,13,10,0,0,"k§-bi-nE-z§",4,"0,88","0,51","0","0","0,66","0,15","3","2","c-k.om-§.b-b.i-i.n-n.ai-E.s-z.on-§"
"!combine!","!k&bin!","combine",8.24,1,9,7,2,3,"k§-bin",2,"0,94","0,75","0","0","0,7","0,19","1","2","c-k.om-§.b-b.i-i.n-n.e-#"
"!combiner!","!k&bine!","combiner",6.35,1,10,8,2,6,"k§-bi-ne",3,"0,94","0,75","0","0","0,69","0,19","2","2","c-k.om-§.b-b.i-i.n-n.er-e"
"!combiné!","!k&bine!","combiné",1.69,1,9,8,2,6,"k§-bi-ne",3,"0,94","0,75","0","0","0,71","0,19","1","2","c-k.om-§.b-b.i-i.n-n.é-e"
"!combiné!","!k&bine!","combiné",3.65,1,9,8,2,6,"k§-bi-ne",3,"0,94","0,75","0","0","0,71","0,19","1","2","c-k.om-§.b-b.i-i.n-n.é-e"
"!comble!","!k&bl!","comble",3.04,1,8,6,2,4,"k§bl",1,"0,97","0,91","0","0","0,69","0,19","1","2","c-k.om-§.b-b.l-l.e-#"
"!comble!","!k&bl!","comble",27.3,1,8,6,2,4,"k§bl",1,"0,97","0,91","0","0","0,69","0,19","1","2","c-k.om-§.b-b.l-l.e-#"
"!combler!","!k&ble!","combler",25.34,1,9,7,2,5,"k§-ble",2,"0,97","0,91","0","0","0,67","0,19","2","2","c-k.om-§.b-b.l-l.er-e"
"!comblé!","!k&ble!","comblé",4.19,1,8,7,2,5,"k§-ble",2,"0,97","0,91","0","0","0,69","0,19","1","2","c-k.om-§.b-b.l-l.é-e"
"!combustible!","!k&bystibl!","combustible",1.49,1,13,11,0,0,"k§-bys-tibl",3,"0,89","0,49","1","5","0,77","0,19","1","2","c-k.om-§.b-b.u-y.s-s.t-t.i-i.b-b.l-l.e-#"
"!combustion!","!k&bystj&!","combustion",1.89,1,12,10,0,0,"k§-bys-tj§",3,"0,8","0,24","2","5","0,7","0,19","2","2","c-k.om-§.b-b.u-y.s-s.t-t.i-j.on-§"
"!comestible!","!komEstibl!","comestible",2.36,1,12,11,0,0,"ko-mEs-tibl",3,"0,81","0,38","2","4","0,79","0,38","0","0","c-k.o-o.m-m.e-E.s-s.t-t.i-i.b-b.l-l.e-#"
"!comique!","!komik!","comique",13.45,1,9,7,3,8,"ko-mik",2,"0,89","0,7","0","0","0,73","0,3","1","5","c-k.o-o.m-m.i-i.qu-k.e-#"
"!comique!","!komik!","comique",3.92,1,9,7,3,8,"ko-mik",2,"0,89","0,7","0","0","0,73","0,3","1","5","c-k.o-o.m-m.i-i.qu-k.e-#"
"!comiquement!","!komik°m@!","comiquement",1.35,1,13,10,0,0,"ko-mi-k°-m@",4,"0,78","0,34","1","8","0,78","0,3","2","5","c-k.o-o.m-m.i-i.qu-k.e-°.m-m.ent-@"
"!comité!","!komite!","comité",63.65,1,8,8,3,6,"ko-mi-te",3,"0,88","0,7","0","0","0,84","0,42","0","0","c-k.o-o.m-m.i-i.t-t.é-e"
"!commandant!","!kom@d@!","commandant",5.14,1,12,8,2,8,"ko-m@-d@",3,"0,93","0,7","0","0","0,67","0,08","1","3","c-k.o-o.mm-m.an-@.d-d.ant-@"
"!commandant!","!kom@d@!","commandant",49.8,1,12,8,2,8,"ko-m@-d@",3,"0,93","0,7","0","0","0,67","0,08","1","3","c-k.o-o.mm-m.an-@.d-d.ant-@"
"!commande!","!kom@d!","commande",18.72,1,10,7,3,5,"ko-m@d",2,"0,93","0,7","0","0","0,63","0,08","1","3","c-k.o-o.mm-m.an-@.d-d.e-#"
"!commandement!","!kom@d°m@!","commandement",47.23,1,14,10,0,1,"ko-m@-d°-m@",4,"0,81","0,34","1","8","0,71","0,08","2","3","c-k.o-o.mm-m.an-@.d-d.e-°.m-m.ent-@"
"!commander!","!kom@de!","commander",80.34,1,11,8,2,8,"ko-m@-de",3,"0,93","0,7","0","0","0,62","0,08","2","3","c-k.o-o.mm-m.an-@.d-d.er-e"
"!commanditaire!","!kom@ditER!","commanditaire",1.08,1,15,11,0,0,"ko-m@-di-tER",4,"0,92","0,7","0","0","0,68","0,08","2","3","c-k.o-o.mm-m.an-@.d-d.i-i.t-t.ai-E.r-R.e-#"
"!commando!","!kom@do!","commando",6.82,1,10,8,4,7,"ko-m@-do",3,"0,93","0,7","0","0","0,69","0,08","1","3","c-k.o-o.mm-m.an-@.d-d.o-o"
"!commandé!","!kom@de!","commandé",2.09,1,10,8,3,8,"ko-m@-de",3,"0,93","0,7","0","0","0,64","0,08","1","3","c-k.o-o.mm-m.an-@.d-d.é-e"
"!comme!","!kOm!","comme",365.68,1,7,5,9,19,"kOm",1,"0,8","0,3","1","2","0,6","0,08","1","3","c-k.o-O.mm-m.e-#"
"!commencement!","!kom@s°m@!","commencement",16.55,1,14,10,0,1,"ko-m@-s°-m@",4,"0,71","0,34","2","5","0,59","0,08","4","3","c-k.o-o.mm-m.en-@.c-s.e-°.m-m.ent-@"
"!commencer!","!kom@se!","commencer",421.89,1,11,8,4,8,"ko-m@-se",3,"0,81","0,35","1","5","0,47","0,08","4","3","c-k.o-o.mm-m.en-@.c-s.er-e"
"!comment!","!kom@!","comment",164.93,1,9,6,3,16,"ko-m@",2,"0,74","0,34","1","4","0,56","0,08","2","3","c-k.o-o.mm-m.ent-@"
"!comment!","!kom@!","comment",241.35,1,9,6,3,16,"ko-m@",2,"0,74","0,34","1","4","0,56","0,08","2","3","c-k.o-o.mm-m.ent-@"
"!comment!","!kom@!","comment",13.99,1,9,6,3,16,"ko-m@",2,"0,74","0,34","1","4","0,56","0,08","2","3","c-k.o-o.mm-m.ent-@"
"!commentaire!","!kom@tER!","commentaire",20.81,1,13,9,0,2,"ko-m@-tER",3,"0,92","0,7","0","0","0,59","0,08","3","3","c-k.o-o.mm-m.en-@.t-t.ai-E.r-R.e-#"
"!commentateur!","!kom@tat9R!","commentateur",1.89,1,14,11,0,2,"ko-m@-ta-t9R",4,"0,88","0,57","0","0","0,77","0,08","2","3","c-k.o-o.mm-m.en-@.t-t.a-a.t-t.eu-9.r-R"
"!commenter!","!kom@te!","commenter",19.93,1,11,8,2,9,"ko-m@-te",3,"0,91","0,7","0","0","0,59","0,08","3","3","c-k.o-o.mm-m.en-@.t-t.er-e"
"!commençant!","!kom@s@!","commençant",1.15,1,12,8,3,7,"ko-m@-s@",3,"0,92","0,7","0","0","0,49","0,02","3","3","c-k.o-o.mm-m.en-@.ç-s.ant-@"
"!commerce!","!komERs!","commerce",29.93,1,10,8,2,0,"ko-mERs",2,"0,76","0,35","2","4","0,58","0,08","2","3","c-k.o-o.mm-m.e-E.r-R.c-s.e-#"
"!commercer!","!komERse!","commercer",1.01,1,11,9,2,3,"ko-mER-se",3,"0,76","0,35","2","4","0,57","0,08","3","3","c-k.o-o.mm-m.e-E.r-R.c-s.er-e"
"!commercial!","!komERsjal!","commercial",9.73,1,12,11,0,0,"ko-mER-sjal",3,"0,73","0,24","3","4","0,72","0,08","2","3","c-k.o-o.mm-m.e-E.r-R.c-s.i-j.a-a.l-l"
"!commerçant!","!komERs@!","commerçant",2.57,1,12,9,2,3,"ko-mER-s@",3,"0,86","0,38","1","4","0,59","0,02","2","3","c-k.o-o.mm-m.e-E.r-R.ç-s.ant-@"
"!commerçant!","!komERs@!","commerçant",16.28,1,12,9,2,3,"ko-mER-s@",3,"0,86","0,38","1","4","0,59","0,02","2","3","c-k.o-o.mm-m.e-E.r-R.ç-s.ant-@"
"!commettre!","!komEtR!","commettre",37.16,1,11,8,1,5,"ko-mEtR",2,"0,86","0,38","1","4","0,56","0,07","2","3","c-k.o-o.mm-m.e-E.tt-t.r-R.e-#"
"!commis!","!komi!","commis",10,1,8,6,2,14,"ko-mi",2,"0,9","0,7","0","0","0,52","0,08","2","3","c-k.o-o.mm-m.is-i"
"!commissaire!","!komisER!","commissaire",36.69,1,13,9,0,2,"ko-mi-sER",3,"0,91","0,7","0","0","0,58","0,08","3","3","c-k.o-o.mm-m.i-i.ss-s.ai-E.r-R.e-#"
"!commissariat!","!komisaRja!","commissariat",12.7,1,14,11,0,0,"ko-mi-sa-Rja",4,"0,84","0,24","1","8","0,69","0,01","3","3","c-k.o-o.mm-m.i-i.ss-s.a-a.r-R.i-j.a-a.t-#"
"!commission!","!komisj&!","commission",17.43,1,12,9,0,3,"ko-mi-sj§",3,"0,8","0,24","1","6","0,61","0,08","3","3","c-k.o-o.mm-m.i-i.ss-s.i-j.on-§"
"!commissionnaire!","!komisjonER!","commissionnaire",1.22,1,17,12,0,0,"ko-mi-sjo-nER",4,"0,84","0,24","1","6","0,6","0,08","4","3","c-k.o-o.mm-m.i-i.ss-s.i-j.o-o.nn-n.ai-E.r-R.e-#"
"!commissure!","!komisyR!","commissure",5.41,1,12,9,0,2,"ko-mi-syR",3,"0,91","0,7","0","0","0,68","0,08","2","3","c-k.o-o.mm-m.i-i.ss-s.u-y.r-R.e-#"
"!commisération!","!komizeRasj&!","commisération",2.5,1,15,13,0,0,"ko-mi-ze-Ra-sj§",5,"0,74","0,07","2","9","0,72","0,08","3","3","c-k.o-o.mm-m.i-i.s-z.é-e.r-R.a-a.t-s.i-j.on-§"
"!commode!","!komOd!","commode",17.16,1,9,7,0,2,"ko-mOd",2,"0,82","0,3","1","4","0,71","0,08","1","3","c-k.o-o.mm-m.o-O.d-d.e-#"
"!commode!","!komOd!","commode",12.09,1,9,7,0,2,"ko-mOd",2,"0,82","0,3","1","4","0,71","0,08","1","3","c-k.o-o.mm-m.o-O.d-d.e-#"
"!commodité!","!komodite!","commodité",3.31,1,11,10,0,1,"ko-mo-di-te",4,"0,87","0,7","0","0","0,76","0,08","1","3","c-k.o-o.mm-m.o-o.d-d.i-i.t-t.é-e"
"!commodément!","!komodem@!","commodément",1.35,1,13,10,0,0,"ko-mo-de-m@",4,"0,83","0,34","1","8","0,74","0,08","2","3","c-k.o-o.mm-m.o-o.d-d.é-e.m-m.ent-@"
"!commun!","!kom5!","commun",75.95,1,8,6,1,5,"ko-m1",2,"0,9","0,7","0","0","0,71","0,08","1","3","c-k.o-o.mm-m.un-1"
"!commun!","!kom5!","commun",22.77,1,8,6,1,5,"ko-m1",2,"0,9","0,7","0","0","0,71","0,08","1","3","c-k.o-o.mm-m.un-1"
"!communal!","!komynal!","communal",9.12,1,10,9,0,1,"ko-my-nal",3,"0,92","0,7","0","0","0,8","0,08","1","3","c-k.o-o.mm-m.u-y.n-n.a-a.l-l"
"!communal!","!komynal!","communal",9.39,1,10,9,0,1,"ko-my-nal",3,"0,92","0,7","0","0","0,8","0,08","1","3","c-k.o-o.mm-m.u-y.n-n.a-a.l-l"
"!communautaire!","!komynotER!","communautaire",1.49,1,15,11,0,0,"ko-my-no-tER",4,"0,93","0,7","0","0","0,62","0,08","3","3","c-k.o-o.mm-m.u-y.n-n.au-o.t-t.ai-E.r-R.e-#"
"!communauté!","!komynote!","communauté",12.64,1,12,10,0,0,"ko-my-no-te",4,"0,93","0,7","0","0","0,63","0,08","2","3","c-k.o-o.mm-m.u-y.n-n.au-o.t-t.é-e"
"!commune!","!komyn!","commune",10.27,1,9,7,3,1,"ko-myn",2,"0,92","0,7","0","0","0,67","0,08","1","3","c-k.o-o.mm-m.u-y.n-n.e-#"
"!communiant!","!komynj@!","communiant",3.18,1,12,9,2,4,"ko-my-nj@",3,"0,82","0,24","1","6","0,73","0,08","1","3","c-k.o-o.mm-m.u-y.n-n.i-j.ant-@"
"!communicatif!","!komynikatif!","communicatif",2.7,1,14,13,0,1,"ko-my-ni-ka-tif",5,"0,87","0,64","0","0","0,82","0,08","1","3","c-k.o-o.mm-m.u-y.n-n.i-i.c-k.a-a.t-t.i-i.f-f"
"!communication!","!komynikasj&!","communication",26.82,1,15,13,0,0,"ko-my-ni-ka-sj§",5,"0,74","0,07","2","9","0,68","0,08","3","3","c-k.o-o.mm-m.u-y.n-n.i-i.c-k.a-a.t-s.i-j.on-§"
"!communier!","!komynje!","communier",6.62,1,11,9,1,4,"ko-my-nje",3,"0,82","0,24","1","6","0,68","0,08","2","3","c-k.o-o.mm-m.u-y.n-n.i-j.er-e"
"!communion!","!komynj&!","communion",13.04,1,11,9,0,4,"ko-my-nj§",3,"0,82","0,24","1","6","0,69","0,08","2","3","c-k.o-o.mm-m.u-y.n-n.i-j.on-§"
"!communiquer!","!komynike!","communiquer",26.49,1,13,10,2,5,"ko-my-ni-ke",4,"0,9","0,7","0","0","0,65","0,08","3","3","c-k.o-o.mm-m.u-y.n-n.i-i.qu-k.er-e"
"!communiqué!","!komynike!","communiqué",8.99,1,12,10,2,5,"ko-my-ni-ke",4,"0,9","0,7","0","0","0,66","0,08","2","3","c-k.o-o.mm-m.u-y.n-n.i-i.qu-k.é-e"
"!communisme!","!komynizm!","communisme",9.66,1,12,10,2,2,"ko-my-nizm",3,"0,86","0,51","0","0","0,76","0,08","1","3","c-k.o-o.mm-m.u-y.n-n.i-i.s-z.m-m.e-#"
"!communiste!","!komynist!","communiste",22.7,1,12,10,2,0,"ko-my-nist",3,"0,85","0,49","1","7","0,7","0,08","1","3","c-k.o-o.mm-m.u-y.n-n.i-i.s-s.t-t.e-#"
"!communiste!","!komynist!","communiste",26.35,1,12,10,2,0,"ko-my-nist",3,"0,85","0,49","1","7","0,7","0,08","1","3","c-k.o-o.mm-m.u-y.n-n.i-i.s-s.t-t.e-#"
"!communément!","!komynem@!","communément",2.5,1,13,10,0,0,"ko-my-ne-m@",4,"0,85","0,34","1","8","0,73","0,08","2","3","c-k.o-o.mm-m.u-y.n-n.é-e.m-m.ent-@"
"!commutateur!","!komytat9R!","commutateur",2.77,1,13,11,0,1,"ko-my-ta-t9R",4,"0,88","0,57","0","0","0,84","0,08","1","3","c-k.o-o.mm-m.u-y.t-t.a-a.t-t.eu-9.r-R"
"!commère!","!komER!","commère",3.78,1,9,7,1,10,"ko-mER",2,"0,93","0,7","0","0","0,57","0,08","2","3","c-k.o-o.mm-m.è-E.r-R.e-#"
"!commémoratif!","!komemoRatif!","commémoratif",1.35,1,14,13,0,1,"ko-me-mo-Ra-tif",5,"0,91","0,7","0","0","0,85","0,08","1","3","c-k.o-o.mm-m.é-e.m-m.o-o.r-R.a-a.t-t.i-i.f-f"
"!commémoration!","!komemoRasj&!","commémoration",1.22,1,15,13,0,0,"ko-me-mo-Ra-sj§",5,"0,78","0,07","2","9","0,71","0,08","3","3","c-k.o-o.mm-m.é-e.m-m.o-o.r-R.a-a.t-s.i-j.on-§"
"!commémorer!","!komemoRe!","commémorer",1.69,1,12,10,0,3,"ko-me-mo-Re",4,"0,91","0,7","0","0","0,74","0,08","2","3","c-k.o-o.mm-m.é-e.m-m.o-o.r-R.er-e"
"!commérage!","!komeRaZ!","commérage",1.28,1,11,9,0,0,"ko-me-RaZ",3,"0,94","0,7","0","0","0,82","0,08","1","3","c-k.o-o.mm-m.é-e.r-R.a-a.ge-Z"
"!compact!","!k&pakt!","compact",10.47,1,9,8,0,1,"k§-pakt",2,"0,79","0,18","1","6","0,74","0,19","1","2","c-k.om-§.p-p.a-a.c-k.t-t"
"!compagnie!","!k&paNi!","compagnie",97.16,1,11,8,0,2,"k§-pa-Ni",3,"0,95","0,75","0","0","0,76","0,19","1","2","c-k.om-§.p-p.a-a.gn-N.i-i.e-#"
"!compagnon!","!k&paN&!","compagnon",80,1,11,8,0,2,"k§-pa-N§",3,"0,98","0,91","0","0","0,72","0,19","2","2","c-k.om-§.p-p.a-a.gn-N.on-§"
"!comparable!","!k&paRabl!","comparable",6.08,1,12,10,0,0,"k§-pa-Rabl",3,"0,98","0,91","0","0","0,8","0,19","1","2","c-k.om-§.p-p.a-a.r-R.a-a.b-b.l-l.e-#"
"!comparaison!","!k&paREz&!","comparaison",13.72,1,13,10,0,1,"k§-pa-RE-z§",4,"0,91","0,51","0","0","0,67","0,15","3","2","c-k.om-§.p-p.a-a.r-R.ai-E.s-z.on-§"
"!comparaître!","!k&paREtR!","comparaître",3.31,1,13,10,1,0,"k§-pa-REtR",3,"0,96","0,81","0","0","0,69","0,01","2","2","c-k.om-§.p-p.a-a.r-R.aî-E.t-t.r-R.e-#"
"!comparer!","!k&paRe!","comparer",26.01,1,10,8,2,7,"k§-pa-Re",3,"0,98","0,91","0","0","0,71","0,19","2","2","c-k.om-§.p-p.a-a.r-R.er-e"
"!comparse!","!k&paRs!","comparse",1.76,1,10,8,1,6,"k§-paRs",2,"0,91","0,49","1","6","0,67","0,19","1","2","c-k.om-§.p-p.a-a.r-R.s-s.e-#"
"!compartiment!","!k&paRtim@!","compartiment",13.58,1,14,11,0,0,"k§-paR-ti-m@",4,"0,88","0,34","1","9","0,78","0,19","2","2","c-k.om-§.p-p.a-a.r-R.t-t.i-i.m-m.ent-@"
"!compas!","!k&pa!","compas",2.84,1,8,6,0,9,"k§-pa",2,"0,97","0,91","0","0","0,63","0,18","2","2","c-k.om-§.p-p.a-a.s-#"
"!compassion!","!k&pasj&!","compassion",7.3,1,12,9,0,1,"k§-pa-sj§",3,"0,88","0,24","1","6","0,63","0,19","3","2","c-k.om-§.p-p.a-a.ss-s.i-j.on-§"
"!compassé!","!k&pase!","compassé",1.76,1,10,8,1,4,"k§-pa-se",3,"0,98","0,91","0","0","0,61","0,19","2","2","c-k.om-§.p-p.a-a.ss-s.é-e"
"!compatible!","!k&patibl!","compatible",2.09,1,12,10,0,0,"k§-pa-tibl",3,"0,95","0,75","0","0","0,79","0,19","1","2","c-k.om-§.p-p.a-a.t-t.i-i.b-b.l-l.e-#"
"!compatir!","!k&patiR!","compatir",2.57,1,10,9,3,2,"k§-pa-tiR",3,"0,94","0,75","0","0","0,83","0,19","1","2","c-k.om-§.p-p.a-a.t-t.i-i.r-R"
"!compatissant!","!k&patis@!","compatissant",3.18,1,14,10,2,3,"k§-pa-ti-s@",4,"0,95","0,75","0","0","0,72","0,19","2","2","c-k.om-§.p-p.a-a.t-t.i-i.ss-s.ant-@"
"!compatriote!","!k&patRijOt!","compatriote",9.05,1,13,12,0,0,"k§-pa-tRi-jOt",4,"0,81","0,01","2","7","0,75","0,19","2","2","c-k.om-§.p-p.a-a.t-t.r-R.i-ij.o-O.t-t.e-#"
"!compensation!","!k&p@sasj&!","compensation",5.81,1,14,11,0,1,"k§-p@-sa-sj§",4,"0,73","0,07","3","5","0,56","0,1","4","2","c-k.om-§.p-p.en-@.s-s.a-a.t-s.i-j.on-§"
"!compenser!","!k&p@se!","compenser",9.32,1,11,8,1,6,"k§-p@-se",3,"0,88","0,49","1","5","0,52","0,19","3","2","c-k.om-§.p-p.en-@.s-s.er-e"
"!complainte!","!k&pl5t!","complainte",2.3,1,12,8,0,2,"k§-pl5t",2,"0,97","0,91","0","0","0,62","0,09","2","2","c-k.om-§.p-p.l-l.ain-5.t-t.e-#"
"!complaire!","!k&plER!","complaire",4.19,1,11,8,1,3,"k§-plER",2,"0,97","0,9","0","0","0,63","0,15","2","2","c-k.om-§.p-p.l-l.ai-E.r-R.e-#"
"!complaisamment!","!k&plEzam@!","complaisamment",3.18,1,16,11,0,0,"k§-plE-za-m@",4,"0,85","0,34","1","9","0,6","0,08","4","2","c-k.om-§.p-p.l-l.ai-E.s-z.a-a.mm-m.ent-@"
"!complaisance!","!k&plEz@s!","complaisance",11.22,1,14,10,1,1,"k§-plE-z@s",3,"0,85","0,35","1","8","0,57","0,15","3","2","c-k.om-§.p-p.l-l.ai-E.s-z.an-@.c-s.e-#"
"!complaisant!","!k&plEz@!","complaisant",4.93,1,13,9,2,2,"k§-plE-z@",3,"0,9","0,51","0","0","0,66","0,15","2","2","c-k.om-§.p-p.l-l.ai-E.s-z.ant-@"
"!complet!","!k&plE!","complet",44.12,1,9,7,3,5,"k§-plE",2,"0,98","0,91","0","0","0,59","0,02","2","2","c-k.om-§.p-p.l-l.et-E"
"!complet!","!k&plE!","complet",10.54,1,9,7,3,5,"k§-plE",2,"0,98","0,91","0","0","0,59","0,02","2","2","c-k.om-§.p-p.l-l.et-E"
"!complexe!","!k&plEks!","complexe",8.51,1,10,9,1,0,"k§-plEks",2,"0,86","0,38","1","5","0,68","0,19","1","2","c-k.om-§.p-p.l-l.e-E.x-ks.e-#"
"!complexe!","!k&plEks!","complexe",8.45,1,10,9,1,0,"k§-plEks",2,"0,86","0,38","1","5","0,68","0,19","1","2","c-k.om-§.p-p.l-l.e-E.x-ks.e-#"
"!complexité!","!k&plEksite!","complexité",2.64,1,12,12,0,0,"k§-plEk-si-te",4,"0,85","0,38","1","5","0,74","0,19","1","2","c-k.om-§.p-p.l-l.e-E.x-ks.i-i.t-t.é-e"
"!complication!","!k&plikasj&!","complication",8.38,1,14,12,0,0,"k§-pli-ka-sj§",4,"0,76","0,07","2","8","0,67","0,1","3","2","c-k.om-§.p-p.l-l.i-i.c-k.a-a.t-s.i-j.on-§"
"!complice!","!k&plis!","complice",17.09,1,10,8,0,2,"k§-plis",2,"0,86","0,35","1","6","0,64","0,19","2","2","c-k.om-§.p-p.l-l.i-i.c-s.e-#"
"!complice!","!k&plis!","complice",14.73,1,10,8,0,2,"k§-plis",2,"0,86","0,35","1","6","0,64","0,19","2","2","c-k.om-§.p-p.l-l.i-i.c-s.e-#"
"!complicité!","!k&plisite!","complicité",24.46,1,12,11,0,0,"k§-pli-si-te",4,"0,85","0,35","1","6","0,7","0,19","2","2","c-k.om-§.p-p.l-l.i-i.c-s.i-i.t-t.é-e"
"!compliment!","!k&plim@!","compliment",15,1,12,9,2,3,"k§-pli-m@",3,"0,85","0,34","1","7","0,73","0,19","2","2","c-k.om-§.p-p.l-l.i-i.m-m.ent-@"
"!complimenter!","!k&plim@te!","complimenter",1.55,1,14,11,1,3,"k§-pli-m@-te",4,"0,94","0,75","0","0","0,71","0,19","3","2","c-k.om-§.p-p.l-l.i-i.m-m.en-@.t-t.er-e"
"!compliquer!","!k&plike!","compliquer",18.85,1,12,9,2,4,"k§-pli-ke",3,"0,95","0,75","0","0","0,64","0,19","3","2","c-k.om-§.p-p.l-l.i-i.qu-k.er-e"
"!compliqué!","!k&plike!","compliqué",24.46,1,11,9,2,4,"k§-pli-ke",3,"0,95","0,75","0","0","0,65","0,19","2","2","c-k.om-§.p-p.l-l.i-i.qu-k.é-e"
"!complot!","!k&plo!","complot",6.49,1,9,7,2,3,"k§-plo",2,"0,9","0,7","0","0","0,63","0,01","2","2","c-k.om-§.p-p.l-l.o-o.t-#"
"!comploter!","!k&plote!","comploter",2.5,1,11,9,3,4,"k§-plo-te",3,"0,93","0,7","0","0","0,72","0,19","2","2","c-k.om-§.p-p.l-l.o-o.t-t.er-e"
"!complètement!","!k&plEt°m@!","complètement",81.49,1,14,11,0,0,"k§-plE-t°-m@",4,"0,85","0,34","1","9","0,69","0,16","3","2","c-k.om-§.p-p.l-l.è-E.t-t.e-°.m-m.ent-@"
"!complément!","!k&plem@!","complément",3.51,1,12,9,1,2,"k§-ple-m@",3,"0,89","0,34","1","7","0,73","0,19","2","2","c-k.om-§.p-p.l-l.é-e.m-m.ent-@"
"!complémentaire!","!k&plem@tER!","complémentaire",3.51,1,16,12,0,0,"k§-ple-m@-tER",4,"0,96","0,9","0","0","0,69","0,15","3","2","c-k.om-§.p-p.l-l.é-e.m-m.en-@.t-t.ai-E.r-R.e-#"
"!compléter!","!k&plete!","compléter",14.39,1,11,9,2,5,"k§-ple-te",3,"0,97","0,91","0","0","0,72","0,19","2","2","c-k.om-§.p-p.l-l.é-e.t-t.er-e"
